500 Solr docs per file
Ingesting all available files...
Currently Sat Aug 9 13:35:32 CUT 2014. Will run for 28800 seconds, ending at Sat Aug 9 21:35:32 CUT 2014
Starting at - time since epoch start
postNum,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
1,0,1407591332.229258300,0.0165577,1.367,200,0.005,0.007,0.007,0.025
2,500,1407591334.733620300,2.52092,0.510,200,0.005,0.007,0.007,0.011
3,1000,1407591336.382383300,4.16968,0.374,200,0.006,0.009,0.009,0.013
4,1500,1407591337.907675500,5.69497,0.311,200,0.006,0.007,0.007,0.010
5,2000,1407591339.369932500,7.15723,0.298,200,0.005,0.007,0.007,0.009
6,2500,1407591340.795462800,8.58276,0.303,200,0.009,0.011,0.011,0.013
7,3000,1407591342.223938300,10.0112,0.368,200,0.007,0.008,0.008,0.011
8,3500,1407591343.724372900,11.5117,0.280,200,0.006,0.007,0.007,0.009
9,4000,1407591345.143744500,12.931,0.361,200,0.006,0.008,0.008,0.011
10,4500,1407591346.665802100,14.4531,0.281,200,0.009,0.011,0.011,0.013
11,5000,1407591348.085557800,15.8729,0.286,200,0.006,0.007,0.007,0.009
12,5500,1407591349.516706800,17.304,0.257,200,0.006,0.007,0.008,0.010
13,6000,1407591350.915194300,18.7025,0.372,200,0.006,0.007,0.007,0.009
14,6500,1407591352.428509800,20.2158,0.271,200,0.006,0.007,0.007,0.009
15,7000,1407591353.861094300,21.6484,0.257,200,0.006,0.008,0.008,0.010
16,7500,1407591355.263396800,23.0507,0.262,200,0.005,0.006,0.006,0.009
17,8000,1407591356.673666700,24.461,0.326,200,0.005,0.007,0.007,0.009
18,8500,1407591358.175283200,25.9626,0.293,200,0.005,0.007,0.007,0.009
19,9000,1407591359.623485800,27.4108,0.273,200,0.005,0.007,0.007,0.009
20,9500,1407591361.036466800,28.8238,0.245,200,0.005,0.007,0.007,0.009
21,10000,1407591362.410760100,30.1981,0.282,200,0.010,0.013,0.013,0.014
22,10500,1407591363.837522900,31.6248,0.808,200,0.008,0.013,0.013,0.016
23,11000,1407591365.792839400,33.5801,0.215,200,0.010,0.011,0.011,0.013
24,11500,1407591367.144839600,34.9321,0.390,200,0.006,0.007,0.007,0.009
25,12000,1407591368.696098500,36.4834,0.240,200,0.009,0.011,0.011,0.013
26,12500,1407591370.072056600,37.8594,0.214,200,0.006,0.007,0.007,0.009
27,13000,1407591371.422900500,39.2102,0.261,200,0.006,0.007,0.008,0.010
28,13500,1407591372.821532500,40.6088,0.207,200,0.006,0.007,0.008,0.009
29,14000,1407591374.185824500,41.9731,0.332,200,0.009,0.011,0.011,0.015
30,14500,1407591375.656653000,43.444,0.218,200,0.005,0.007,0.007,0.010
31,15000,1407591377.022614600,44.8099,0.217,200,0.024,0.027,0.027,0.029
32,15500,1407591378.377910600,46.1652,0.218,200,0.005,0.012,0.012,0.014
33,16000,1407591379.772190900,47.5595,0.223,200,0.005,0.009,0.009,0.012
34,16500,1407591381.143812800,48.9311,0.233,200,0.007,0.008,0.008,0.010
35,17000,1407591382.516994300,50.3043,0.245,200,0.009,0.011,0.011,0.013
36,17500,1407591383.910555800,51.6979,0.232,200,0.005,0.007,0.007,0.009
37,18000,1407591385.292762100,53.0801,0.417,200,0.005,0.007,0.007,0.009
38,18500,1407591386.850786800,54.6381,0.244,200,0.006,0.008,0.008,0.010
39,19000,1407591388.249142900,56.0364,0.203,200,0.007,0.009,0.009,0.012
40,19500,1407591389.621497800,57.4088,0.293,200,0.006,0.007,0.007,0.011
41,20000,1407591391.074341600,58.8616,0.229,200,0.005,0.007,0.007,0.009
42,20500,1407591392.444736200,60.232,0.215,200,0.006,0.010,0.010,0.013
43,21000,1407591393.814394500,61.6017,0.180,200,0.006,0.008,0.008,0.010
44,21500,1407591395.133377400,62.9207,0.194,200,0.009,0.011,0.011,0.013
45,22000,1407591396.483623800,64.2709,0.167,200,0.006,0.007,0.007,0.009
46,22500,1407591397.796307100,65.5836,0.194,200,0.006,0.007,0.007,0.009
47,23000,1407591399.125080200,66.9124,0.288,200,0.006,0.007,0.008,0.010
48,23500,1407591400.562589800,68.3499,0.191,200,0.009,0.011,0.011,0.012
49,24000,1407591401.901116100,69.6884,0.217,200,0.006,0.008,0.008,0.010
50,24500,1407591403.290408600,71.0777,0.178,200,0.006,0.007,0.007,0.009
51,25000,1407591404.621568300,72.4089,0.260,200,0.005,0.010,0.010,0.012
52,25500,1407591406.025476200,73.8128,0.186,200,0.006,0.007,0.007,0.009
53,26000,1407591407.361181600,75.1485,0.182,200,0.005,0.007,0.007,0.009
54,26500,1407591408.679043500,76.4663,0.199,200,0.005,0.007,0.007,0.009
55,27000,1407591410.008916600,77.7962,0.187,200,0.006,0.007,0.007,0.009
56,27500,1407591411.350567500,79.1379,0.184,200,0.006,0.008,0.008,0.011
57,28000,1407591412.680163100,80.4675,0.238,200,0.010,0.011,0.011,0.014
58,28500,1407591414.068099500,81.8554,0.187,200,0.006,0.010,0.010,0.011
59,29000,1407591415.410439500,83.1977,0.186,200,0.006,0.008,0.008,0.009
60,29500,1407591416.755205900,84.5425,0.220,200,0.006,0.007,0.007,0.009
61,30000,1407591418.111341400,85.8986,0.291,200,0.006,0.007,0.007,0.009
62,30500,1407591419.534091500,87.3214,0.213,200,0.006,0.007,0.007,0.010
63,31000,1407591420.885544100,88.6728,0.190,200,0.005,0.007,0.007,0.009
64,31500,1407591422.207086000,89.9944,0.232,200,0.009,0.011,0.011,0.013
65,32000,1407591423.578549900,91.3658,0.181,200,0.012,0.013,0.013,0.015
66,32500,1407591424.899885800,92.6872,0.212,200,0.006,0.007,0.007,0.009
67,33000,1407591426.244784900,94.0321,0.242,200,0.006,0.007,0.007,0.009
68,33500,1407591427.625356200,95.4127,0.214,200,0.005,0.007,0.007,0.009
69,34000,1407591428.985286300,96.7726,0.291,200,0.010,0.012,0.012,0.015
70,34500,1407591430.432157500,98.2195,0.223,200,0.005,0.006,0.006,0.007
71,35000,1407591431.799320200,99.5866,0.256,200,0.005,0.012,0.012,0.013
72,35500,1407591433.195992600,100.983,0.239,200,0.010,0.016,0.016,0.018
73,36000,1407591434.616332500,102.404,0.208,200,0.006,0.007,0.007,0.009
74,36500,1407591435.977751300,103.765,0.215,200,0.005,0.007,0.007,0.009
75,37000,1407591437.316581900,105.104,0.199,200,0.005,0.007,0.007,0.009
76,37500,1407591438.663237900,106.451,0.191,200,0.005,0.007,0.007,0.008
77,38000,1407591440.012098300,107.799,0.186,200,0.006,0.008,0.008,0.009
78,38500,1407591441.355406300,109.143,0.195,200,0.006,0.007,0.007,0.009
