KEYS_STRING = &Keys=MG:A4E45BF7AF38387D1418D44F96DF582B
Starting at 13:35:16 - time since epoch start
queryNum,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
1,0,1407591317.461303400,0.651376,1.550,200,0.025,0.027,0.027,1.549
2,0,1407591320.203044500,3.39312,0.120,200,0.005,0.006,0.007,0.119
3,0,1407591321.465794400,4.65587,0.130,200,0.006,0.007,0.008,0.128
4,0,1407591322.728468800,5.91854,0.131,200,0.006,0.008,0.008,0.130
5,0,1407591323.994123500,7.1842,0.125,200,0.010,0.011,0.011,0.124
6,0,1407591325.247196100,8.43727,0.155,200,0.006,0.009,0.009,0.154
7,0,1407591326.535550200,9.72562,0.127,200,0.006,0.007,0.007,0.126
8,0,1407591327.800463200,10.9905,0.114,200,0.006,0.009,0.009,0.114
9,0,1407591329.046850900,12.2369,0.127,200,0.006,0.007,0.007,0.127
10,0,1407591330.314325700,13.5044,0.131,200,0.006,0.008,0.008,0.131
11,0,1407591331.589997600,14.7801,0.112,200,0.010,0.012,0.012,0.111
12,0,1407591332.837250200,16.0273,0.203,200,0.006,0.007,0.007,0.202
13,0,1407591334.161519800,17.3516,0.105,200,0.010,0.011,0.011,0.105
14,0,1407591335.391771800,18.5818,0.110,200,0.006,0.007,0.007,0.110
15,0,1407591336.630422600,19.8205,0.125,200,0.005,0.007,0.007,0.124
16,0,1407591337.894167400,21.0842,0.117,200,0.005,0.007,0.007,0.116
17,0,1407591339.144159100,22.3342,0.115,200,0.008,0.009,0.009,0.114
18,0,1407591340.393825200,23.5839,0.107,200,0.006,0.007,0.007,0.106
19,0,1407591341.630335800,24.8204,0.150,200,0.007,0.008,0.008,0.149
20,0,1407591342.904477300,26.0946,0.151,200,0.006,0.011,0.011,0.151
21,0,1407591344.180794300,27.3709,0.102,200,0.006,0.008,0.008,0.101
22,0,1407591345.426965500,28.617,0.130,200,0.005,0.007,0.007,0.129
23,0,1407591346.680538000,29.8706,0.116,200,0.010,0.011,0.011,0.115
24,0,1407591347.915307300,31.1054,0.116,200,0.006,0.008,0.008,0.115
25,0,1407591349.175034200,32.3651,0.152,200,0.010,0.011,0.011,0.151
26,0,1407591350.464111800,33.6542,0.113,200,0.006,0.007,0.007,0.113
27,0,1407591351.710230700,34.9003,0.138,200,0.010,0.012,0.012,0.137
28,0,1407591352.965103500,36.1552,0.142,200,0.006,0.009,0.009,0.141
29,0,1407591354.251706500,37.4418,0.115,200,0.006,0.008,0.008,0.114
30,0,1407591355.509335400,38.6994,0.107,200,0.006,0.007,0.007,0.106
31,0,1407591356.761368300,39.9514,0.164,200,0.009,0.010,0.011,0.163
32,0,1407591358.075354400,41.2654,0.109,200,0.006,0.007,0.007,0.108
