500 Solr docs per file
Ingesting all available files...
Currently Sat Aug 9 13:59:06 CUT 2014. Will run for 28800 seconds, ending at Sat Aug 9 21:59:06 CUT 2014
Starting at - time since epoch start
postNum,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
1,0,1407592746.068811700,0.015471,1.377,200,0.008,0.010,0.010,0.031
2,500,1407592749.086450600,3.03311,0.409,200,0.011,0.013,0.013,0.015
3,1000,1407592751.927499500,5.87416,0.416,200,0.006,0.008,0.008,0.010
4,1500,1407592753.913667800,7.86033,0.292,200,0.007,0.009,0.009,0.011
5,2000,1407592755.754358000,9.70102,0.303,200,0.016,0.017,0.017,0.020
6,2500,1407592757.545311300,11.492,0.295,200,0.010,0.012,0.013,0.015
7,3000,1407592759.392180400,13.3388,0.270,200,0.007,0.009,0.009,0.011
8,3500,1407592761.177402500,15.1241,0.269,200,0.006,0.007,0.007,0.009
9,4000,1407592762.819240900,16.7659,0.276,200,0.008,0.010,0.010,0.012
10,4500,1407592764.659311400,18.606,0.275,200,0.007,0.008,0.009,0.011
11,5000,1407592766.435326400,20.382,0.273,200,0.015,0.017,0.017,0.020
12,5500,1407592768.291412700,22.2381,0.249,200,0.007,0.008,0.008,0.010
13,6000,1407592770.060316300,24.007,0.249,200,0.006,0.008,0.008,0.010
14,6500,1407592771.783201400,25.7299,0.266,200,0.010,0.012,0.012,0.015
15,7000,1407592773.549508500,27.4962,0.270,200,0.017,0.018,0.018,0.021
16,7500,1407592775.620199400,29.5669,0.251,200,0.006,0.008,0.008,0.010
17,8000,1407592777.210049500,31.1567,0.440,200,0.006,0.008,0.008,0.014
18,8500,1407592779.003980700,32.9506,0.241,200,0.007,0.009,0.009,0.011
19,9000,1407592780.899600400,34.8463,0.321,200,0.006,0.008,0.008,0.010
20,9500,1407592782.700380800,36.647,0.243,200,0.007,0.008,0.009,0.011
21,10000,1407592784.431041700,38.3777,0.202,200,0.007,0.009,0.009,0.013
22,10500,1407592786.066766800,40.0134,0.213,200,0.007,0.009,0.010,0.012
23,11000,1407592787.900461600,41.8471,0.187,200,0.006,0.008,0.009,0.011
24,11500,1407592789.464625600,43.4113,0.184,200,0.006,0.008,0.008,0.010
25,12000,1407592791.156517700,45.1032,0.181,200,0.008,0.010,0.010,0.011
26,12500,1407592792.894982700,46.8416,0.187,200,0.007,0.008,0.008,0.010
27,13000,1407592794.559039200,48.5057,0.188,200,0.006,0.008,0.008,0.010
28,13500,1407592796.034482000,49.9811,0.206,200,0.026,0.027,0.027,0.029
29,14000,1407592797.547697900,51.4944,0.200,200,0.007,0.009,0.009,0.011
30,14500,1407592798.977931100,52.9246,0.182,200,0.006,0.007,0.008,0.009
31,15000,1407592800.683084600,54.6297,0.179,200,0.006,0.008,0.008,0.010
32,15500,1407592802.670107600,56.6168,0.196,200,0.007,0.009,0.009,0.011
33,16000,1407592804.265804400,58.2125,0.187,200,0.008,0.010,0.010,0.011
34,16500,1407592805.783999300,59.7307,0.184,200,0.007,0.008,0.008,0.010
35,17000,1407592807.488434800,61.4351,0.189,200,0.007,0.008,0.008,0.010
36,17500,1407592809.141351100,63.088,0.193,200,0.006,0.008,0.008,0.010
37,18000,1407592810.992381400,64.939,0.169,200,0.006,0.009,0.009,0.011
38,18500,1407592812.600167300,66.5468,0.187,200,0.007,0.008,0.008,0.011
39,19000,1407592814.299184900,68.2458,0.171,200,0.006,0.008,0.008,0.010
40,19500,1407592816.173178800,70.1198,0.180,200,0.008,0.010,0.010,0.011
41,20000,1407592817.739025300,71.6857,0.186,200,0.007,0.008,0.008,0.010
42,20500,1407592819.460809200,73.4075,0.190,200,0.007,0.008,0.008,0.010
43,21000,1407592820.923221000,74.8699,0.194,200,0.006,0.008,0.008,0.010
44,21500,1407592822.631777200,76.5784,0.185,200,0.007,0.008,0.008,0.010
45,22000,1407592824.270262800,78.2169,0.192,200,0.008,0.010,0.010,0.015
46,22500,1407592825.789818600,79.7365,0.193,200,0.007,0.009,0.009,0.012
47,23000,1407592827.418227400,81.3649,0.175,200,0.007,0.008,0.008,0.010
48,23500,1407592828.920224700,82.8669,0.178,200,0.006,0.008,0.008,0.010
49,24000,1407592830.621519000,84.5682,0.187,200,0.008,0.010,0.010,0.011
50,24500,1407592832.245541800,86.1922,0.179,200,0.007,0.009,0.009,0.011
51,25000,1407592833.756675900,87.7033,0.177,200,0.006,0.008,0.008,0.010
52,25500,1407592835.243559400,89.1902,0.195,200,0.007,0.009,0.009,0.011
53,26000,1407592836.864628500,90.8113,0.201,200,0.009,0.012,0.012,0.013
54,26500,1407592838.544643200,92.4913,0.281,200,0.006,0.008,0.008,0.010
55,27000,1407592840.244630700,94.1913,0.179,200,0.007,0.009,0.009,0.011
56,27500,1407592841.954905000,95.9016,0.185,200,0.006,0.008,0.008,0.010
57,28000,1407592843.417587500,97.3642,0.179,200,0.006,0.007,0.008,0.009
58,28500,1407592844.970402700,98.9171,0.308,200,0.008,0.010,0.010,0.013
59,29000,1407592846.650581400,100.597,0.198,200,0.007,0.009,0.009,0.011
60,29500,1407592848.523214900,102.47,0.313,200,0.006,0.008,0.008,0.011
61,30000,1407592850.180752900,104.127,0.176,200,0.006,0.008,0.008,0.009
62,30500,1407592851.948049400,105.895,0.193,200,0.007,0.009,0.009,0.011
63,31000,1407592853.609211800,107.556,0.189,200,0.006,0.008,0.008,0.009
64,31500,1407592855.240779500,109.187,0.170,200,0.007,0.009,0.009,0.011
65,32000,1407592856.922949300,110.87,0.181,200,0.006,0.008,0.008,0.010
66,32500,1407592858.563785100,112.51,0.178,200,0.007,0.008,0.009,0.011
67,33000,1407592859.998244800,113.945,0.182,200,0.006,0.008,0.008,0.011
68,33500,1407592861.452023400,115.399,0.183,200,0.007,0.008,0.008,0.010
69,34000,1407592864.058049800,118.005,0.181,200,0.006,0.008,0.008,0.009
70,34500,1407592865.527087800,119.474,0.238,200,0.007,0.009,0.009,0.011
71,35000,1407592867.109126800,121.056,0.224,200,0.006,0.008,0.008,0.010
72,35500,1407592868.647509400,122.594,0.200,200,0.008,0.009,0.010,0.011
73,36000,1407592870.287220500,124.234,0.186,200,0.006,0.008,0.008,0.010
74,36500,1407592871.877863800,125.825,0.172,200,0.006,0.008,0.008,0.010
75,37000,1407592873.408563000,127.355,0.183,200,0.006,0.008,0.008,0.011
76,37500,1407592875.161361300,129.108,0.168,200,0.006,0.008,0.008,0.010
77,38000,1407592877.028084200,130.975,0.205,200,0.006,0.008,0.008,0.010
78,38500,1407592878.585634100,132.532,0.175,200,0.006,0.008,0.008,0.010
79,39000,1407592880.055435600,134.002,0.175,200,0.006,0.008,0.008,0.010
80,39500,1407592881.580835100,135.527,0.168,200,0.008,0.010,0.010,0.012
81,40000,1407592883.170003100,137.117,0.197,200,0.006,0.009,0.010,0.012
82,40500,1407592884.694248300,138.641,0.180,200,0.006,0.008,0.008,0.010
83,41000,1407592886.155550400,140.102,0.172,200,0.007,0.008,0.008,0.010
84,41500,1407592887.851652600,141.798,0.184,200,0.008,0.010,0.010,0.014
85,42000,1407592889.260921200,143.208,0.176,200,0.006,0.007,0.008,0.009
86,42500,1407592890.687392400,144.634,0.187,200,0.008,0.009,0.009,0.011
87,43000,1407592892.292096300,146.239,0.217,200,0.006,0.008,0.008,0.011
88,43500,1407592893.869381700,147.816,0.179,200,0.006,0.007,0.008,0.009
89,44000,1407592895.446537300,149.393,0.206,200,0.006,0.008,0.008,0.011
90,44500,1407592896.954756000,150.901,0.185,200,0.006,0.007,0.008,0.009
91,45000,1407592898.488381800,152.435,0.178,200,0.006,0.008,0.008,0.010
92,45500,1407592899.966958100,153.914,0.169,200,0.007,0.009,0.009,0.011
93,46000,1407592901.605163500,155.552,0.186,200,0.007,0.010,0.010,0.012
94,46500,1407592903.291051200,157.238,0.174,200,0.010,0.012,0.012,0.014
95,47000,1407592904.864100100,158.811,0.175,200,0.006,0.008,0.008,0.010
96,47500,1407592906.307663800,160.254,0.180,200,0.006,0.008,0.008,0.009
97,48000,1407592907.790858600,161.738,0.180,200,0.006,0.008,0.009,0.011
98,48500,1407592909.952073000,163.899,0.178,200,0.006,0.008,0.008,0.010
99,49000,1407592911.460790700,165.407,0.180,200,0.007,0.008,0.008,0.010
100,49500,1407592912.967447200,166.914,0.201,200,0.008,0.010,0.010,0.012
101,50000,1407592914.546267400,168.493,0.183,200,0.016,0.018,0.018,0.021
102,50500,1407592916.028524900,169.975,0.190,200,0.027,0.028,0.028,0.030
103,51000,1407592917.640022200,171.587,0.179,200,0.007,0.009,0.009,0.010
104,51500,1407592919.166637700,173.113,0.233,200,0.006,0.008,0.008,0.010
105,52000,1407592920.699134100,174.646,0.177,200,0.006,0.008,0.008,0.009
106,52500,1407592922.189170200,176.136,0.186,200,0.006,0.009,0.009,0.011
107,53000,1407592923.771326500,177.718,0.203,200,0.013,0.015,0.015,0.017
108,53500,1407592925.237385200,179.184,0.188,200,0.008,0.010,0.010,0.013
109,54000,1407592926.965420500,180.912,0.310,200,0.006,0.007,0.008,0.010
110,54500,1407592928.651231700,182.598,0.233,200,0.007,0.008,0.008,0.064
111,55000,1407592930.304994800,184.252,0.188,200,0.009,0.010,0.010,0.012
112,55500,1407592932.048441000,185.995,0.184,200,0.008,0.010,0.010,0.012
113,56000,1407592933.584779800,187.531,0.189,200,0.008,0.010,0.010,0.012
114,56500,1407592935.129422200,189.076,0.187,200,0.008,0.009,0.009,0.011
115,57000,1407592936.706536200,190.653,0.177,200,0.006,0.008,0.008,0.010
116,57500,1407592938.169076800,192.116,0.173,200,0.006,0.008,0.008,0.009
117,58000,1407592939.717704000,193.664,0.212,200,0.006,0.007,0.007,0.009
118,58500,1407592941.214804600,195.161,0.179,200,0.006,0.008,0.008,0.011
119,59000,1407592942.677294700,196.624,0.180,200,0.006,0.008,0.008,0.010
120,59500,1407592944.187138100,198.134,0.189,200,0.006,0.008,0.008,0.009
121,60000,1407592945.769701900,199.716,0.175,200,0.014,0.016,0.016,0.017
122,60500,1407592947.426682500,201.373,0.160,200,0.006,0.008,0.008,0.011
123,61000,1407592948.878066100,202.825,0.174,200,0.006,0.008,0.008,0.012
124,61500,1407592950.419332500,204.366,0.171,200,0.007,0.009,0.009,0.011
125,62000,1407592951.837645600,205.784,0.171,200,0.006,0.008,0.008,0.009
126,62500,1407592953.319929600,207.267,0.192,200,0.007,0.009,0.009,0.010
127,63000,1407592954.875829200,208.822,0.172,200,0.006,0.008,0.008,0.010
128,63500,1407592956.349618500,210.296,0.238,200,0.007,0.008,0.009,0.011
129,64000,1407592958.116154100,212.063,0.187,200,0.009,0.011,0.011,0.014
130,64500,1407592959.646340700,213.593,0.175,200,0.006,0.008,0.008,0.010
131,65000,1407592961.135038100,215.082,0.175,200,0.006,0.009,0.009,0.010
132,65500,1407592962.625496600,216.572,0.172,200,0.007,0.008,0.009,0.011
133,66000,1407592964.030273300,217.977,0.179,200,0.009,0.011,0.011,0.013
134,66500,1407592965.685975300,219.633,0.198,200,0.006,0.008,0.008,0.010
135,67000,1407592967.159143200,221.106,0.183,200,0.006,0.008,0.008,0.011
136,67500,1407592968.616696200,222.563,0.190,200,0.006,0.008,0.008,0.010
137,68000,1407592970.444523500,224.391,0.198,200,0.006,0.008,0.008,0.010
138,68500,1407592971.951929600,225.899,0.182,200,0.007,0.008,0.008,0.011
139,69000,1407592973.561169100,227.508,0.180,200,0.007,0.008,0.008,0.010
140,69500,1407592975.196183600,229.143,0.178,200,0.006,0.008,0.008,0.010
141,70000,1407592976.872124800,230.819,0.161,200,0.006,0.008,0.008,0.010
142,70500,1407592978.326449100,232.273,0.183,200,0.008,0.010,0.010,0.013
143,71000,1407592979.789507400,233.736,0.189,200,0.006,0.008,0.008,0.010
144,71500,1407592981.466183300,235.413,0.168,200,0.006,0.008,0.008,0.010
145,72000,1407592982.995672900,236.942,0.164,200,0.007,0.008,0.008,0.010
146,72500,1407592984.666621200,238.613,0.176,200,0.007,0.009,0.009,0.011
147,73000,1407592986.605643400,240.552,0.185,200,0.015,0.019,0.019,0.021
148,73500,1407592988.096016400,242.043,0.166,200,0.006,0.008,0.008,0.009
149,74000,1407592989.774997900,243.722,0.171,200,0.008,0.011,0.011,0.013
150,74500,1407592991.425517300,245.372,0.178,200,0.006,0.008,0.008,0.010
151,75000,1407592992.866023400,246.813,0.175,200,0.010,0.011,0.011,0.012
152,75500,1407592994.335973400,248.283,0.188,200,0.006,0.008,0.008,0.010
153,76000,1407592995.822364400,249.769,0.184,200,0.007,0.009,0.009,0.011
154,76500,1407592997.464997000,251.412,0.176,200,0.006,0.008,0.008,0.010
155,77000,1407592999.284630000,253.231,0.246,200,0.006,0.008,0.008,0.010
156,77500,1407593000.828595100,254.775,0.183,200,0.014,0.017,0.017,0.019
157,78000,1407593002.268745900,256.215,0.179,200,0.006,0.008,0.008,0.010
158,78500,1407593003.776776700,257.723,0.205,200,0.007,0.012,0.012,0.014
159,79000,1407593005.373370600,259.32,0.181,200,0.008,0.010,0.010,0.011
160,79500,1407593006.984884700,260.932,0.163,200,0.006,0.008,0.008,0.009
161,80000,1407593008.401415600,262.348,0.167,200,0.006,0.008,0.009,0.010
162,80500,1407593010.050824300,263.997,0.207,200,0.006,0.008,0.008,0.010
163,81000,1407593011.768461400,265.715,0.168,200,0.006,0.008,0.008,0.010
164,81500,1407593013.345260800,267.292,0.172,200,0.006,0.008,0.008,0.010
165,82000,1407593015.314006000,269.261,0.168,200,0.007,0.009,0.009,0.011
166,82500,1407593016.957128700,270.904,0.187,200,0.006,0.008,0.008,0.009
167,83000,1407593018.399100500,272.346,0.176,200,0.008,0.009,0.009,0.011
168,83500,1407593019.938032600,273.885,0.169,200,0.007,0.009,0.009,0.011
169,84000,1407593021.448121400,275.395,0.175,200,0.006,0.008,0.008,0.010
170,84500,1407593022.893762700,276.84,0.169,200,0.006,0.008,0.008,0.009
171,85000,1407593024.363664700,278.31,0.174,200,0.006,0.008,0.008,0.009
172,85500,1407593025.851443700,279.798,0.197,200,0.006,0.008,0.008,0.009
173,86000,1407593027.496420900,281.443,0.176,200,0.007,0.008,0.008,0.010
174,86500,1407593029.149419100,283.096,0.176,200,0.006,0.008,0.008,0.010
175,87000,1407593030.653840400,284.6,0.365,200,0.008,0.010,0.010,0.011
176,87500,1407593032.270028200,286.217,0.196,200,0.008,0.010,0.010,0.012
177,88000,1407593033.883029000,287.83,0.179,200,0.009,0.011,0.011,0.013
178,88500,1407593035.303956000,289.251,0.197,200,0.006,0.008,0.008,0.010
179,89000,1407593036.888627200,290.835,0.167,200,0.007,0.009,0.010,0.012
180,89500,1407593038.422911000,292.37,0.168,200,0.006,0.008,0.008,0.011
181,90000,1407593039.890514800,293.837,0.162,200,0.006,0.008,0.008,0.010
182,90500,1407593041.436465800,295.383,0.165,200,0.006,0.008,0.008,0.009
183,91000,1407593042.930278400,296.877,0.176,200,0.006,0.008,0.008,0.009
184,91500,1407593044.385592800,298.332,0.176,200,0.006,0.008,0.008,0.010
185,92000,1407593045.844833300,299.791,0.186,200,0.009,0.012,0.012,0.014
