KEYS_STRING = &Keys=MG:A4E45BF7AF38387D1418D44F96DF582B
Starting at 13:58:56 - time since epoch start
queryNum,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
1,0,1407592737.380909900,1.32448,1.277,200,0.007,0.009,0.009,1.277
2,0,1407592740.134495200,4.07806,0.088,200,0.006,0.008,0.008,0.087
3,0,1407592741.401275600,5.34484,0.087,200,0.006,0.008,0.008,0.085
4,0,1407592742.655662400,6.59923,0.090,200,0.006,0.008,0.008,0.089
5,0,1407592743.937516500,7.88108,0.105,200,0.008,0.010,0.010,0.105
6,0,1407592745.217675000,9.16124,0.104,200,0.014,0.015,0.015,0.103
7,0,1407592746.503081200,10.4466,0.090,200,0.008,0.010,0.010,0.090
8,0,1407592747.773261400,11.7168,0.179,200,0.009,0.012,0.012,0.179
9,0,1407592749.175498800,13.1191,0.090,200,0.007,0.008,0.008,0.090
10,0,1407592750.437588400,14.3812,0.086,200,0.009,0.010,0.011,0.085
11,0,1407592751.702626300,15.6462,0.095,200,0.007,0.009,0.009,0.094
12,0,1407592752.959144600,16.9027,0.092,200,0.007,0.009,0.009,0.091
13,0,1407592754.252507500,18.1961,0.099,200,0.006,0.008,0.008,0.098
14,0,1407592755.525841200,19.4694,0.097,200,0.007,0.008,0.008,0.096
15,0,1407592756.804111800,20.7477,0.090,200,0.006,0.008,0.008,0.090
16,0,1407592758.090837800,22.0344,0.098,200,0.009,0.010,0.010,0.097
17,0,1407592759.380685600,23.3243,0.107,200,0.007,0.009,0.009,0.106
18,0,1407592760.652618300,24.5962,0.092,200,0.007,0.008,0.009,0.091
19,0,1407592761.905971700,25.8495,0.098,200,0.006,0.008,0.008,0.097
20,0,1407592763.174048000,27.1176,0.094,200,0.006,0.008,0.008,0.093
21,0,1407592764.437046200,28.3806,0.094,200,0.007,0.008,0.008,0.093
22,0,1407592765.705714000,29.6493,0.085,200,0.006,0.008,0.008,0.084
23,0,1407592766.972340400,30.9159,0.090,200,0.007,0.008,0.008,0.089
24,0,1407592768.282284900,32.2259,0.099,200,0.009,0.011,0.011,0.098
25,0,1407592769.569147900,33.5127,0.090,200,0.008,0.010,0.010,0.089
26,0,1407592770.828937300,34.7725,0.091,200,0.006,0.008,0.008,0.090
27,0,1407592772.087522700,36.0311,0.092,200,0.008,0.009,0.009,0.091
28,0,1407592773.348576000,37.2921,0.093,200,0.007,0.008,0.008,0.092
29,0,1407592774.608926300,38.5525,0.092,200,0.007,0.008,0.008,0.090
30,0,1407592775.874994400,39.8186,0.100,200,0.012,0.013,0.013,0.099
31,0,1407592777.168712200,41.1123,0.096,200,0.008,0.010,0.010,0.094
32,0,1407592778.484485200,42.4281,0.119,200,0.008,0.009,0.010,0.118
33,0,1407592779.774554800,43.7181,0.105,200,0.011,0.013,0.013,0.104
34,0,1407592781.060965700,45.0045,0.131,200,0.009,0.011,0.012,0.130
35,0,1407592782.376088500,46.3197,0.094,200,0.008,0.009,0.009,0.093
36,0,1407592783.633854300,47.5774,0.119,200,0.008,0.009,0.010,0.118
37,0,1407592784.926882000,48.8704,0.119,200,0.013,0.015,0.015,0.119
38,0,1407592786.243591500,50.1872,0.114,200,0.006,0.008,0.008,0.113
39,0,1407592787.526286000,51.4699,0.120,200,0.007,0.008,0.008,0.119
40,0,1407592788.823252700,52.7668,0.116,200,0.007,0.009,0.009,0.116
41,0,1407592790.150015700,54.0936,0.123,200,0.006,0.008,0.008,0.122
42,0,1407592791.446898800,55.3905,0.117,200,0.007,0.008,0.008,0.117
43,0,1407592792.728243400,56.6718,0.114,200,0.006,0.008,0.008,0.113
44,0,1407592794.017270200,57.9608,0.117,200,0.007,0.009,0.009,0.116
45,0,1407592795.305530100,59.2491,0.116,200,0.007,0.008,0.008,0.115
46,0,1407592796.594061200,60.5376,0.114,200,0.007,0.008,0.008,0.113
47,0,1407592797.881946200,61.8255,0.106,200,0.006,0.008,0.008,0.105
48,0,1407592799.141525700,63.0851,0.114,200,0.007,0.008,0.008,0.113
49,0,1407592800.436982400,64.3805,0.118,200,0.007,0.009,0.009,0.117
50,0,1407592801.739062100,65.6826,0.259,200,0.006,0.008,0.008,0.259
51,0,1407592803.193076300,67.1366,0.113,200,0.007,0.009,0.009,0.113
52,0,1407592804.480754100,68.4243,0.116,200,0.006,0.008,0.008,0.115
