500 Solr docs per file
Ingesting all available files...
Currently Sat Aug 9 13:38:01 CUT 2014. Will run for 28800 seconds, ending at Sat Aug 9 21:38:01 CUT 2014
Starting at - time since epoch start
postNum,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
1,0,1407591481.884067200,0.012521,1.982,200,0.006,0.007,0.007,0.026
2,500,1407591485.143190900,3.27164,0.501,200,0.006,0.007,0.007,0.011
3,1000,1407591486.869145900,4.9976,0.490,200,0.006,0.008,0.008,0.010
4,1500,1407591488.516447000,6.6449,0.401,200,0.005,0.006,0.006,0.008
5,2000,1407591490.080646300,8.2091,0.359,200,0.005,0.006,0.006,0.009
6,2500,1407591491.588307700,9.71676,0.354,200,0.005,0.006,0.006,0.008
7,3000,1407591493.094872400,11.2233,0.377,200,0.007,0.009,0.009,0.011
8,3500,1407591494.643900100,12.7724,0.353,200,0.005,0.006,0.006,0.008
9,4000,1407591496.141943600,14.2704,0.342,200,0.005,0.007,0.008,0.010
10,4500,1407591497.814092800,15.9425,0.334,200,0.006,0.008,0.008,0.010
11,5000,1407591499.374033600,17.5025,0.367,200,0.009,0.010,0.010,0.012
12,5500,1407591500.921326200,19.0498,0.318,200,0.006,0.008,0.008,0.009
13,6000,1407591502.378264000,20.5067,0.305,200,0.005,0.006,0.006,0.008
14,6500,1407591503.818330200,21.9468,0.318,200,0.005,0.006,0.006,0.009
15,7000,1407591505.280088000,23.4085,0.303,200,0.006,0.008,0.008,0.010
16,7500,1407591506.744691800,24.8731,0.323,200,0.006,0.008,0.008,0.010
17,8000,1407591508.237467000,26.3659,0.328,200,0.005,0.006,0.007,0.009
18,8500,1407591509.701869300,27.8303,0.325,200,0.005,0.008,0.008,0.010
19,9000,1407591511.146260900,29.2747,0.306,200,0.005,0.006,0.006,0.008
20,9500,1407591512.590400000,30.7189,0.427,200,0.005,0.007,0.007,0.009
21,10000,1407591514.173321900,32.3018,0.589,200,0.006,0.008,0.008,0.010
22,10500,1407591515.944339200,34.0728,0.262,200,0.005,0.006,0.007,0.009
23,11000,1407591517.773392800,35.9018,0.250,200,0.011,0.012,0.012,0.015
24,11500,1407591519.168750700,37.2972,0.237,200,0.006,0.008,0.008,0.010
25,12000,1407591520.552967900,38.6814,0.310,200,0.005,0.007,0.007,0.009
26,12500,1407591522.014340500,40.1428,0.255,200,0.006,0.007,0.008,0.010
27,13000,1407591523.436046800,41.5645,0.227,200,0.005,0.006,0.006,0.008
28,13500,1407591524.867496900,42.996,0.217,200,0.006,0.007,0.007,0.009
29,14000,1407591526.336764200,44.4652,0.226,200,0.006,0.008,0.008,0.010
30,14500,1407591527.701128400,45.8296,0.222,200,0.005,0.007,0.007,0.009
31,15000,1407591529.072996200,47.2014,0.210,200,0.005,0.016,0.016,0.018
32,15500,1407591530.421917600,48.5504,0.200,200,0.006,0.008,0.008,0.011
33,16000,1407591531.763866500,49.8923,0.232,200,0.006,0.008,0.008,0.010
34,16500,1407591533.249374700,51.3778,0.214,200,0.005,0.007,0.007,0.009
35,17000,1407591534.621700400,52.7502,0.221,200,0.007,0.009,0.009,0.011
36,17500,1407591536.025038600,54.1535,0.317,200,0.006,0.008,0.008,0.113
37,18000,1407591537.663183000,55.7916,0.211,200,0.005,0.007,0.007,0.009
38,18500,1407591539.133819900,57.2623,0.208,200,0.005,0.007,0.007,0.009
39,19000,1407591540.464418700,58.5929,0.216,200,0.009,0.010,0.010,0.012
40,19500,1407591541.800771800,59.9292,0.207,200,0.005,0.007,0.007,0.009
41,20000,1407591543.137186100,61.2656,0.221,200,0.006,0.007,0.008,0.010
42,20500,1407591544.612455400,62.7409,0.210,200,0.006,0.007,0.007,0.010
43,21000,1407591546.034920900,64.1634,0.224,200,0.006,0.007,0.007,0.009
44,21500,1407591547.434629800,65.5631,0.216,200,0.006,0.008,0.008,0.010
45,22000,1407591548.839183800,66.9676,0.210,200,0.005,0.007,0.007,0.009
46,22500,1407591550.211753800,68.3402,0.210,200,0.005,0.009,0.009,0.011
47,23000,1407591551.560450400,69.6889,0.221,200,0.005,0.007,0.007,0.009
48,23500,1407591553.049250100,71.1777,0.211,200,0.005,0.006,0.006,0.008
49,24000,1407591554.383685900,72.5121,0.204,200,0.005,0.007,0.007,0.009
50,24500,1407591555.805226100,73.9337,0.484,200,0.009,0.010,0.011,0.014
51,25000,1407591557.445220700,75.5737,0.228,200,0.006,0.017,0.018,0.020
52,25500,1407591558.853162100,76.9816,0.243,200,0.006,0.008,0.008,0.010
53,26000,1407591560.267593300,78.396,0.209,200,0.005,0.006,0.006,0.008
54,26500,1407591561.628130000,79.7566,0.228,200,0.010,0.014,0.015,0.017
55,27000,1407591563.013490500,81.1419,0.382,200,0.005,0.007,0.007,0.008
56,27500,1407591564.546228500,82.6747,0.212,200,0.005,0.007,0.007,0.009
57,28000,1407591566.006770400,84.1352,0.212,200,0.006,0.008,0.008,0.010
58,28500,1407591567.354971500,85.4834,0.243,200,0.007,0.024,0.024,0.026
59,29000,1407591568.998413100,87.1269,0.232,200,0.005,0.006,0.006,0.009
60,29500,1407591570.570293700,88.6987,0.206,200,0.005,0.007,0.007,0.009
61,30000,1407591571.898482800,90.0269,0.208,200,0.005,0.007,0.007,0.010
62,30500,1407591573.255401000,91.3839,0.217,200,0.005,0.007,0.007,0.009
63,31000,1407591574.599788200,92.7282,0.209,200,0.005,0.007,0.007,0.010
64,31500,1407591575.956892100,94.0853,0.209,200,0.005,0.007,0.007,0.009
65,32000,1407591577.318437000,95.4469,0.203,200,0.007,0.008,0.008,0.010
66,32500,1407591578.774914700,96.9034,0.211,200,0.005,0.007,0.007,0.009
67,33000,1407591580.118780300,98.2472,0.204,200,0.005,0.007,0.007,0.010
68,33500,1407591581.475609800,99.6041,0.206,200,0.010,0.012,0.012,0.014
69,34000,1407591582.838906500,100.967,0.232,200,0.026,0.028,0.028,0.030
70,34500,1407591584.231136900,102.36,0.214,200,0.008,0.010,0.010,0.012
71,35000,1407591586.310987600,104.439,0.203,200,0.005,0.006,0.006,0.008
72,35500,1407591587.656622500,105.785,0.213,200,0.005,0.007,0.007,0.010
73,36000,1407591589.009800200,107.138,0.207,200,0.005,0.007,0.007,0.009
74,36500,1407591590.447872500,108.576,0.220,200,0.006,0.008,0.008,0.010
75,37000,1407591591.951508900,110.08,0.204,200,0.006,0.007,0.007,0.009
76,37500,1407591593.316461200,111.445,0.216,200,0.008,0.009,0.009,0.011
77,38000,1407591594.709825200,112.838,0.227,200,0.008,0.010,0.010,0.012
78,38500,1407591596.127074300,114.256,0.211,200,0.007,0.013,0.013,0.015
79,39000,1407591597.555618200,115.684,0.218,200,0.005,0.008,0.008,0.010
80,39500,1407591598.910868700,117.039,0.244,200,0.007,0.009,0.009,0.011
81,40000,1407591600.308041100,118.436,0.208,200,0.005,0.007,0.007,0.009
82,40500,1407591601.646335500,119.775,0.206,200,0.005,0.007,0.007,0.009
83,41000,1407591603.073687800,121.202,0.205,200,0.005,0.006,0.006,0.008
84,41500,1407591604.420910600,122.549,0.210,200,0.005,0.006,0.006,0.008
85,42000,1407591605.770953000,123.899,0.199,200,0.007,0.009,0.009,0.011
86,42500,1407591607.130797800,125.259,0.193,200,0.005,0.006,0.006,0.009
87,43000,1407591608.469660400,126.598,0.203,200,0.006,0.007,0.008,0.010
88,43500,1407591609.838581500,127.967,0.205,200,0.005,0.007,0.007,0.009
89,44000,1407591611.197406300,129.326,0.372,200,0.006,0.007,0.007,0.009
90,44500,1407591612.933616400,131.062,0.221,200,0.005,0.007,0.007,0.009
91,45000,1407591614.395363900,132.524,0.215,200,0.006,0.007,0.007,0.010
92,45500,1407591615.799520600,133.928,0.207,200,0.006,0.007,0.007,0.009
93,46000,1407591617.226283700,135.355,0.215,200,0.006,0.007,0.007,0.009
94,46500,1407591618.689655400,136.818,0.206,200,0.005,0.006,0.006,0.008
95,47000,1407591620.042918500,138.171,0.219,200,0.005,0.006,0.006,0.009
96,47500,1407591621.409513900,139.538,0.227,200,0.006,0.018,0.019,0.021
97,48000,1407591622.803683700,140.932,0.209,200,0.006,0.008,0.008,0.010
98,48500,1407591624.252751600,142.381,0.225,200,0.007,0.008,0.008,0.011
99,49000,1407591625.657960800,143.786,0.211,200,0.006,0.008,0.008,0.010
100,49500,1407591627.038360500,145.167,0.208,200,0.006,0.007,0.008,0.009
101,50000,1407591628.447402500,146.576,0.203,200,0.005,0.007,0.007,0.009
102,50500,1407591629.836322600,147.965,0.196,200,0.005,0.007,0.007,0.009
103,51000,1407591631.264381100,149.393,0.200,200,0.005,0.007,0.007,0.008
104,51500,1407591632.586353700,150.715,0.217,200,0.006,0.007,0.007,0.009
105,52000,1407591633.985403900,152.114,0.191,200,0.005,0.006,0.006,0.008
106,52500,1407591635.315066800,153.444,0.214,200,0.006,0.007,0.008,0.009
107,53000,1407591636.684630400,154.813,0.215,200,0.009,0.010,0.010,0.012
108,53500,1407591638.052185100,156.181,0.224,200,0.006,0.007,0.007,0.009
109,54000,1407591639.543479000,157.672,0.232,200,0.007,0.009,0.009,0.012
110,54500,1407591640.948698600,159.077,0.224,200,0.007,0.008,0.008,0.010
111,55000,1407591642.406131300,160.535,0.208,200,0.005,0.007,0.007,0.009
112,55500,1407591643.744386400,161.873,0.207,200,0.005,0.006,0.006,0.008
113,56000,1407591645.073690900,163.202,0.226,200,0.005,0.007,0.007,0.009
114,56500,1407591646.528496800,164.657,0.222,200,0.006,0.008,0.008,0.010
115,57000,1407591647.899839900,166.028,0.204,200,0.005,0.007,0.007,0.009
116,57500,1407591649.247641200,167.376,0.225,200,0.005,0.007,0.007,0.009
117,58000,1407591650.633045000,168.761,0.218,200,0.007,0.008,0.009,0.011
118,58500,1407591652.071114300,170.2,0.400,200,0.006,0.007,0.007,0.009
119,59000,1407591653.687327400,171.816,0.241,200,0.005,0.007,0.007,0.008
120,59500,1407591655.083841800,173.212,0.201,200,0.005,0.007,0.007,0.008
121,60000,1407591656.568341100,174.697,0.211,200,0.005,0.007,0.007,0.009
122,60500,1407591657.915978000,176.044,0.218,200,0.005,0.007,0.007,0.009
123,61000,1407591659.268445700,177.397,0.204,200,0.006,0.007,0.007,0.010
124,61500,1407591660.605372200,178.734,0.218,200,0.006,0.014,0.014,0.017
125,62000,1407591662.174178900,180.303,0.215,200,0.005,0.007,0.007,0.009
126,62500,1407591663.696524400,181.825,0.209,200,0.009,0.011,0.011,0.013
127,63000,1407591665.059251000,183.188,0.224,200,0.006,0.008,0.008,0.010
128,63500,1407591666.437883500,184.566,0.373,200,0.006,0.010,0.010,0.145
129,64000,1407591667.986576300,186.115,0.216,200,0.005,0.007,0.007,0.009
130,64500,1407591669.651317000,187.78,0.294,200,0.005,0.008,0.008,0.013
131,65000,1407591671.096755200,189.225,0.213,200,0.005,0.007,0.007,0.009
132,65500,1407591672.492913600,190.621,0.211,200,0.007,0.009,0.009,0.011
133,66000,1407591673.881279200,192.01,0.215,200,0.007,0.009,0.009,0.014
134,66500,1407591675.284110100,193.413,0.336,200,0.006,0.008,0.008,0.128
135,67000,1407591676.818717100,194.947,0.215,200,0.009,0.010,0.011,0.013
136,67500,1407591679.206717200,197.335,0.217,200,0.007,0.009,0.009,0.011
137,68000,1407591680.586242600,198.715,0.212,200,0.005,0.007,0.007,0.009
138,68500,1407591681.969113400,200.098,0.210,200,0.005,0.007,0.007,0.010
139,69000,1407591683.499689400,201.628,0.214,200,0.005,0.007,0.007,0.009
140,69500,1407591684.886858600,203.015,0.223,200,0.007,0.009,0.009,0.011
141,70000,1407591686.290359300,204.419,0.224,200,0.008,0.010,0.010,0.012
142,70500,1407591687.694195600,205.823,0.232,200,0.006,0.008,0.008,0.010
143,71000,1407591689.102835400,207.231,0.411,200,0.011,0.013,0.013,0.015
144,71500,1407591690.811905700,208.94,0.204,200,0.005,0.008,0.008,0.010
145,72000,1407591692.183406600,210.312,0.190,200,0.006,0.008,0.008,0.010
146,72500,1407591693.538279500,211.667,0.219,200,0.009,0.011,0.011,0.013
147,73000,1407591694.912283000,213.041,0.204,200,0.008,0.010,0.010,0.012
148,73500,1407591696.272352100,214.401,0.202,200,0.005,0.006,0.006,0.008
149,74000,1407591697.616207600,215.745,0.208,200,0.005,0.006,0.006,0.008
150,74500,1407591699.168622600,217.297,0.218,200,0.005,0.008,0.008,0.010
151,75000,1407591700.524088000,218.653,0.210,200,0.006,0.008,0.008,0.011
152,75500,1407591701.880845100,220.009,0.243,200,0.025,0.026,0.026,0.048
153,76000,1407591703.373597800,221.502,0.212,200,0.005,0.007,0.007,0.009
154,76500,1407591704.762280000,222.891,0.208,200,0.005,0.007,0.007,0.013
155,77000,1407591706.110146400,224.239,0.211,200,0.005,0.007,0.007,0.009
156,77500,1407591707.507930900,225.636,0.216,200,0.007,0.011,0.011,0.013
157,78000,1407591708.883877200,227.012,0.227,200,0.011,0.014,0.014,0.016
158,78500,1407591710.260174100,228.389,0.214,200,0.005,0.006,0.006,0.008
159,79000,1407591711.627757700,229.756,0.374,200,0.008,0.009,0.009,0.173
160,79500,1407591713.192325300,231.321,0.208,200,0.005,0.006,0.006,0.009
161,80000,1407591714.571360600,232.7,0.238,200,0.006,0.014,0.014,0.016
162,80500,1407591715.970330000,234.099,0.217,200,0.005,0.006,0.006,0.009
163,81000,1407591717.334776000,235.463,0.208,200,0.008,0.009,0.010,0.012
164,81500,1407591718.738864800,236.867,0.215,200,0.007,0.009,0.009,0.011
165,82000,1407591720.146211200,238.275,0.197,200,0.010,0.014,0.014,0.017
166,82500,1407591721.518673800,239.647,0.188,200,0.005,0.006,0.006,0.008
