KEYS_STRING =
Starting at 13:37:43 - time since epoch start
queryNum,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
1,0,1407591463.392138600,0.275716,1.348,200,0.005,0.016,0.016,1.347
2,0,1407591465.920435600,2.80401,0.102,200,0.005,0.006,0.007,0.101
3,0,1407591467.153537600,4.03711,0.105,200,0.005,0.007,0.007,0.104
4,0,1407591468.407357700,5.29093,0.106,200,0.009,0.010,0.010,0.105
5,0,1407591469.676430600,6.56001,0.097,200,0.008,0.010,0.010,0.097
6,0,1407591470.928023900,7.8116,0.128,200,0.013,0.015,0.015,0.127
7,0,1407591472.199532900,9.08311,0.115,200,0.005,0.006,0.007,0.114
8,0,1407591473.465415100,10.349,0.093,200,0.009,0.010,0.010,0.092
9,0,1407591474.735026700,11.6186,0.099,200,0.006,0.012,0.012,0.099
10,0,1407591475.986878000,12.8705,0.098,200,0.011,0.013,0.013,0.097
11,0,1407591477.235777100,14.1194,0.097,200,0.006,0.008,0.008,0.095
12,0,1407591478.485744200,15.3693,0.096,200,0.007,0.009,0.009,0.096
13,0,1407591479.725588800,16.6092,0.094,200,0.005,0.006,0.007,0.093
14,0,1407591480.953690000,17.8373,0.099,200,0.008,0.010,0.011,0.098
15,0,1407591482.186277100,19.0699,0.174,200,0.006,0.008,0.008,0.173
16,0,1407591483.518249100,20.4018,0.140,200,0.005,0.006,0.006,0.140
17,0,1407591484.789647500,21.6732,0.097,200,0.005,0.009,0.009,0.097
18,0,1407591486.008662400,22.8922,0.096,200,0.005,0.007,0.007,0.095
19,0,1407591487.239832200,24.1234,0.112,200,0.005,0.006,0.006,0.111
20,0,1407591488.489577500,25.3732,0.100,200,0.007,0.012,0.012,0.100
21,0,1407591489.729163700,26.6127,0.093,200,0.005,0.006,0.006,0.092
22,0,1407591490.980705700,27.8643,0.092,200,0.006,0.008,0.008,0.091
23,0,1407591492.217106600,29.1007,0.096,200,0.006,0.007,0.007,0.096
24,0,1407591493.443367500,30.3269,0.107,200,0.009,0.010,0.010,0.106
25,0,1407591494.682954400,31.5665,0.098,200,0.009,0.010,0.010,0.097
26,0,1407591495.940889000,32.8245,0.093,200,0.006,0.008,0.008,0.092
27,0,1407591497.180328900,34.0639,0.094,200,0.005,0.006,0.006,0.094
28,0,1407591498.387167400,35.2707,0.102,200,0.005,0.006,0.006,0.101
29,0,1407591499.605562200,36.4891,0.099,200,0.006,0.007,0.007,0.097
30,0,1407591500.851151300,37.7347,0.093,200,0.005,0.007,0.007,0.093
31,0,1407591502.077941300,38.9615,0.090,200,0.006,0.008,0.009,0.089
32,0,1407591503.303041100,40.1866,0.110,200,0.007,0.008,0.009,0.109
33,0,1407591504.552754900,41.4363,0.091,200,0.005,0.006,0.006,0.091
34,0,1407591505.769949000,42.6535,0.093,200,0.005,0.007,0.007,0.092
35,0,1407591506.987557700,43.8711,0.092,200,0.005,0.006,0.006,0.091
36,0,1407591508.197710200,45.0813,0.106,200,0.005,0.006,0.006,0.105
37,0,1407591509.458482500,46.3421,0.093,200,0.006,0.007,0.007,0.092
38,0,1407591510.708333000,47.5919,0.102,200,0.009,0.010,0.011,0.102
39,0,1407591511.956322500,48.8399,0.093,200,0.006,0.008,0.008,0.092
40,0,1407591513.186050000,50.0696,0.116,200,0.005,0.008,0.008,0.115
41,0,1407591514.518247900,51.4018,0.179,200,0.005,0.012,0.012,0.178
42,0,1407591515.857794100,52.7414,0.130,200,0.007,0.008,0.009,0.129
43,0,1407591517.160847600,54.0444,0.114,200,0.005,0.006,0.006,0.113
44,0,1407591518.418832500,55.3024,0.134,200,0.005,0.010,0.010,0.133
45,0,1407591519.678362300,56.5619,0.128,200,0.005,0.006,0.007,0.127
46,0,1407591521.000939500,57.8845,0.131,200,0.007,0.009,0.009,0.130
47,0,1407591522.269129000,59.1527,0.122,200,0.005,0.010,0.010,0.122
48,0,1407591523.576255700,60.4598,0.113,200,0.005,0.006,0.006,0.113
49,0,1407591524.837830000,61.7214,0.122,200,0.006,0.010,0.011,0.121
50,0,1407591526.119318600,63.0029,0.121,200,0.007,0.009,0.009,0.121
51,0,1407591527.385224200,64.2688,0.113,200,0.005,0.006,0.007,0.113
52,0,1407591528.632994000,65.5166,0.115,200,0.008,0.010,0.010,0.114
53,0,1407591529.869083700,66.7527,0.116,200,0.005,0.007,0.007,0.115
54,0,1407591531.116564000,68.0001,0.131,200,0.006,0.022,0.022,0.131
55,0,1407591532.392536300,69.2761,0.114,200,0.005,0.006,0.006,0.113
56,0,1407591533.624458400,70.508,0.108,200,0.004,0.006,0.006,0.108
57,0,1407591534.867409400,71.751,0.121,200,0.009,0.010,0.010,0.120
58,0,1407591536.138404100,73.022,0.280,200,0.006,0.008,0.008,0.278
59,0,1407591537.583235800,74.4668,0.127,200,0.011,0.013,0.013,0.126
60,0,1407591538.865307000,75.7489,0.115,200,0.006,0.008,0.008,0.114
61,0,1407591540.120186500,77.0038,0.117,200,0.007,0.009,0.009,0.117
62,0,1407591541.379623200,78.2632,0.107,200,0.005,0.007,0.007,0.106
63,0,1407591542.630009600,79.5136,0.123,200,0.005,0.007,0.007,0.123
64,0,1407591543.903374400,80.787,0.113,200,0.005,0.006,0.006,0.112
65,0,1407591545.131928300,82.0155,0.109,200,0.005,0.006,0.006,0.109
66,0,1407591546.373673700,83.2573,0.113,200,0.006,0.007,0.007,0.112
67,0,1407591547.632434800,84.516,0.116,200,0.007,0.009,0.010,0.115
68,0,1407591548.889433200,85.773,0.107,200,0.005,0.007,0.007,0.106
69,0,1407591550.146736400,87.0303,0.133,200,0.007,0.008,0.008,0.132
70,0,1407591551.440614500,88.3242,0.115,200,0.007,0.009,0.009,0.114
71,0,1407591552.720387500,89.604,0.116,200,0.005,0.006,0.007,0.112
72,0,1407591554.013633300,90.8972,0.118,200,0.008,0.009,0.009,0.117
73,0,1407591555.297688300,92.1813,0.127,200,0.006,0.023,0.023,0.126
74,0,1407591556.563838900,93.4474,0.114,200,0.006,0.007,0.007,0.113
75,0,1407591557.832052900,94.7156,0.115,200,0.005,0.007,0.007,0.114
76,0,1407591559.085688600,95.9693,0.131,200,0.006,0.008,0.008,0.130
77,0,1407591560.370946400,97.2545,0.110,200,0.005,0.007,0.007,0.109
78,0,1407591561.650001500,98.5336,0.117,200,0.005,0.006,0.006,0.116
79,0,1407591562.913972300,99.7975,0.112,200,0.007,0.008,0.008,0.111
80,0,1407591564.198638300,101.082,0.121,200,0.006,0.007,0.007,0.120
81,0,1407591565.488305900,102.372,0.115,200,0.007,0.009,0.010,0.114
82,0,1407591566.753769700,103.637,0.111,200,0.005,0.006,0.006,0.111
83,0,1407591568.041435900,104.925,0.113,200,0.005,0.006,0.006,0.113
84,0,1407591569.274135300,106.158,0.112,200,0.009,0.010,0.010,0.112
85,0,1407591570.539335900,107.423,0.116,200,0.005,0.006,0.006,0.115
86,0,1407591571.781037300,108.665,0.119,200,0.009,0.011,0.011,0.118
87,0,1407591573.051921300,109.935,0.114,200,0.006,0.007,0.007,0.114
88,0,1407591574.342909700,111.226,0.121,200,0.007,0.008,0.008,0.121
89,0,1407591575.634629600,112.518,0.109,200,0.005,0.007,0.007,0.108
90,0,1407591576.902538500,113.786,0.116,200,0.006,0.008,0.008,0.116
91,0,1407591578.170902200,115.054,0.116,200,0.007,0.009,0.009,0.115
92,0,1407591579.441056700,116.325,0.115,200,0.010,0.011,0.011,0.115
93,0,1407591580.710964600,117.595,0.124,200,0.011,0.013,0.013,0.123
94,0,1407591581.970857500,118.854,0.112,200,0.005,0.007,0.007,0.112
95,0,1407591583.216867700,120.1,0.126,200,0.006,0.007,0.007,0.125
96,0,1407591584.475000800,121.359,0.108,200,0.005,0.006,0.007,0.107
97,0,1407591585.942043700,122.826,0.125,200,0.005,0.007,0.007,0.124
98,0,1407591587.230959400,124.115,0.116,200,0.005,0.006,0.006,0.115
99,0,1407591588.502709800,125.386,0.121,200,0.006,0.008,0.008,0.120
100,0,1407591589.772475400,126.656,0.266,200,0.006,0.007,0.007,0.265
101,0,1407591591.183735300,128.067,0.122,200,0.007,0.008,0.008,0.122
102,0,1407591592.454770900,129.338,0.110,200,0.005,0.006,0.006,0.109
103,0,1407591593.702706100,130.586,0.114,200,0.006,0.007,0.007,0.113
104,0,1407591594.948605600,131.832,0.129,200,0.005,0.007,0.007,0.128
105,0,1407591596.268153400,133.152,0.127,200,0.014,0.018,0.018,0.126
106,0,1407591597.531997800,134.416,0.133,200,0.005,0.007,0.007,0.133
107,0,1407591598.833303900,135.717,0.118,200,0.008,0.009,0.009,0.117
108,0,1407591600.098936900,136.983,0.125,200,0.005,0.007,0.007,0.124
109,0,1407591601.382391800,138.266,0.109,200,0.007,0.008,0.008,0.109
110,0,1407591602.629531500,139.513,0.128,200,0.010,0.011,0.011,0.127
111,0,1407591603.904054100,140.788,0.121,200,0.006,0.008,0.008,0.121
112,0,1407591605.183879900,142.067,0.116,200,0.005,0.007,0.007,0.115
113,0,1407591606.449007800,143.333,0.124,200,0.006,0.007,0.007,0.120
114,0,1407591607.722141800,144.606,0.107,200,0.005,0.007,0.007,0.106
115,0,1407591608.973161300,145.857,0.119,200,0.005,0.006,0.006,0.118
116,0,1407591610.223733800,147.107,0.112,200,0.005,0.006,0.006,0.111
117,0,1407591611.484142000,148.368,0.282,200,0.006,0.011,0.011,0.282
118,0,1407591612.929490900,149.813,0.122,200,0.007,0.008,0.008,0.121
119,0,1407591614.239263100,151.123,0.117,200,0.009,0.011,0.011,0.117
120,0,1407591615.514467400,152.398,0.125,200,0.005,0.007,0.007,0.125
121,0,1407591616.810612400,153.694,0.115,200,0.006,0.008,0.008,0.114
122,0,1407591618.073679100,154.957,0.129,200,0.006,0.007,0.007,0.127
123,0,1407591619.359561900,156.243,0.112,200,0.006,0.008,0.008,0.111
124,0,1407591620.648111700,157.532,0.114,200,0.006,0.008,0.008,0.113
125,0,1407591621.897079000,158.781,0.122,200,0.008,0.009,0.009,0.121
126,0,1407591623.164512100,160.048,0.121,200,0.005,0.006,0.007,0.120
127,0,1407591624.432787600,161.316,0.115,200,0.005,0.007,0.007,0.115
128,0,1407591625.706604500,162.59,0.117,200,0.006,0.007,0.007,0.116
129,0,1407591626.967144000,163.851,0.115,200,0.007,0.009,0.009,0.115
130,0,1407591628.225274900,165.109,0.122,200,0.007,0.008,0.008,0.121
131,0,1407591629.489117100,166.373,0.113,200,0.005,0.007,0.007,0.112
132,0,1407591630.749280200,167.633,0.106,200,0.007,0.008,0.008,0.105
133,0,1407591632.023671800,168.907,0.115,200,0.006,0.007,0.007,0.114
134,0,1407591633.280449300,170.164,0.110,200,0.006,0.007,0.007,0.109
