KEYS_STRING = &Keys=MG:A4E45BF7AF38387D1418D44F96DF582B
Starting at 23:56:11 - time since epoch start
queryNum,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
1,0,1407542172.168487700,0.236985,1.285,200,0.005,0.006,0.006,1.284
2,0,1407542174.617401400,2.6859,0.127,200,0.006,0.007,0.007,0.127
3,0,1407542175.908686500,3.97718,0.097,200,0.007,0.009,0.009,0.096
4,0,1407542177.173866800,5.24236,0.103,200,0.007,0.008,0.008,0.102
5,0,1407542178.411631400,6.48013,0.095,200,0.005,0.006,0.006,0.094
6,0,1407542179.627928700,7.69643,0.096,200,0.005,0.007,0.007,0.096
7,0,1407542180.873411300,8.94191,0.096,200,0.007,0.009,0.009,0.095
8,0,1407542182.128016100,10.1965,0.096,200,0.006,0.008,0.008,0.095
9,0,1407542183.368261600,11.4368,0.094,200,0.006,0.007,0.007,0.093
10,0,1407542184.607939100,12.6764,0.105,200,0.006,0.011,0.011,0.105
11,0,1407542185.882432200,13.9509,0.096,200,0.006,0.008,0.008,0.096
12,0,1407542187.115182900,15.1837,0.126,200,0.005,0.006,0.006,0.125
13,0,1407542188.405894200,16.4744,0.245,200,0.005,0.008,0.009,0.245
14,0,1407542189.815792500,17.8843,0.098,200,0.005,0.007,0.007,0.097
15,0,1407542191.050477500,19.119,0.097,200,0.006,0.008,0.008,0.097
16,0,1407542192.278512800,20.347,0.115,200,0.005,0.010,0.010,0.115
17,0,1407542193.524547000,21.593,0.090,200,0.005,0.006,0.006,0.090
18,0,1407542194.746117500,22.8146,0.099,200,0.009,0.011,0.012,0.098
19,0,1407542195.952055400,24.0206,0.102,200,0.006,0.011,0.011,0.101
20,0,1407542197.180220600,25.2487,0.098,200,0.009,0.011,0.011,0.097
21,0,1407542198.404538900,26.473,0.110,200,0.007,0.012,0.012,0.109
22,0,1407542199.651190400,27.7197,0.103,200,0.008,0.010,0.010,0.103
23,0,1407542200.886201800,28.9547,0.091,200,0.005,0.006,0.006,0.091
24,0,1407542202.109091700,30.1776,0.113,200,0.011,0.025,0.025,0.112
25,0,1407542203.376689100,31.4452,0.099,200,0.007,0.008,0.008,0.098
26,0,1407542204.590619800,32.6591,0.108,200,0.005,0.020,0.020,0.108
27,0,1407542205.813176300,33.8817,0.093,200,0.005,0.006,0.006,0.092
28,0,1407542207.023473100,35.092,0.093,200,0.007,0.008,0.008,0.093
29,0,1407542208.246563800,36.3151,0.104,200,0.009,0.011,0.011,0.103
30,0,1407542209.467059100,37.5356,0.102,200,0.010,0.011,0.011,0.101
31,0,1407542210.696414600,38.7649,0.097,200,0.006,0.008,0.008,0.096
32,0,1407542211.923903800,39.9924,0.092,200,0.007,0.009,0.009,0.092
33,0,1407542213.151594400,41.2201,0.097,200,0.005,0.006,0.007,0.096
34,0,1407542214.387571100,42.4561,0.113,200,0.006,0.010,0.010,0.112
35,0,1407542215.653908500,43.7224,0.096,200,0.007,0.008,0.008,0.095
36,0,1407542216.906263400,44.9748,0.090,200,0.006,0.007,0.007,0.089
37,0,1407542218.156327000,46.2248,0.112,200,0.005,0.008,0.008,0.111
38,0,1407542219.398931500,47.4674,0.221,200,0.005,0.011,0.011,0.220
