500 Solr docs per file
Ingesting all available files...
Currently Fri Aug 8 23:56:26 CUT 2014. Will run for 28800 seconds, ending at Sat Aug 9 07:56:26 CUT 2014
Starting at - time since epoch start
postNum,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
1,0,1407542187.063714600,0.0163229,2.076,200,0.005,0.007,0.007,0.065
2,500,1407542190.298659200,3.25127,0.477,200,0.007,0.008,0.008,0.011
3,1000,1407542191.960356100,4.91296,0.446,200,0.007,0.010,0.010,0.012
4,1500,1407542193.567099100,6.51971,0.370,200,0.005,0.009,0.009,0.012
5,2000,1407542195.084345500,8.03695,0.374,200,0.005,0.009,0.009,0.011
6,2500,1407542196.591505400,9.54411,0.347,200,0.006,0.007,0.007,0.009
7,3000,1407542198.083826500,11.0364,0.355,200,0.005,0.007,0.007,0.009
8,3500,1407542199.582289800,12.5349,0.356,200,0.005,0.008,0.008,0.011
9,4000,1407542201.090102200,14.0427,0.359,200,0.005,0.020,0.020,0.023
10,4500,1407542202.588946900,15.5416,0.339,200,0.006,0.007,0.007,0.009
11,5000,1407542204.073089400,17.0257,0.333,200,0.008,0.010,0.010,0.012
12,5500,1407542205.596845100,18.5495,0.317,200,0.011,0.012,0.013,0.015
13,6000,1407542207.081889300,20.0345,0.328,200,0.005,0.021,0.021,0.023
14,6500,1407542208.538157400,21.4908,0.337,200,0.009,0.011,0.011,0.013
15,7000,1407542210.004680800,22.9573,0.308,200,0.005,0.007,0.007,0.009
16,7500,1407542211.435226200,24.3878,0.314,200,0.007,0.008,0.008,0.010
17,8000,1407542212.922345600,25.875,0.340,200,0.006,0.007,0.007,0.009
18,8500,1407542214.413230000,27.3658,0.330,200,0.006,0.008,0.008,0.010
19,9000,1407542215.925493200,28.8781,0.316,200,0.007,0.008,0.008,0.010
20,9500,1407542217.654027200,30.6066,0.372,200,0.006,0.008,0.008,0.010
21,10000,1407542219.202384200,32.155,0.363,200,0.005,0.011,0.011,0.018
22,10500,1407542220.812305900,33.7649,0.256,200,0.006,0.010,0.010,0.012
23,11000,1407542222.306823900,35.2594,0.234,200,0.006,0.008,0.008,0.013
24,11500,1407542223.810473800,36.7631,0.247,200,0.006,0.009,0.009,0.011
25,12000,1407542225.295051600,38.2477,0.233,200,0.006,0.008,0.008,0.011
26,12500,1407542226.821762500,39.7744,0.228,200,0.006,0.008,0.008,0.010
27,13000,1407542228.363714500,41.3163,0.207,200,0.005,0.007,0.007,0.009
28,13500,1407542229.873367200,42.826,0.205,200,0.005,0.006,0.006,0.008
29,14000,1407542231.230433100,44.183,0.221,200,0.007,0.009,0.009,0.012
30,14500,1407542232.782200900,45.7348,0.204,200,0.007,0.008,0.008,0.010
31,15000,1407542234.612038200,47.5646,0.207,200,0.006,0.007,0.007,0.009
32,15500,1407542236.089232900,49.0418,0.204,200,0.006,0.007,0.007,0.009
33,16000,1407542237.592963500,50.5456,0.207,200,0.005,0.007,0.007,0.009
34,16500,1407542238.932330100,51.8849,0.206,200,0.007,0.008,0.008,0.010
35,17000,1407542240.360646700,53.3133,0.207,200,0.007,0.008,0.009,0.011
36,17500,1407542241.829179300,54.7818,0.204,200,0.008,0.009,0.009,0.012
37,18000,1407542243.221946700,56.1746,0.217,200,0.005,0.007,0.007,0.009
38,18500,1407542244.614316700,57.5669,0.385,200,0.005,0.006,0.006,0.009
39,19000,1407542246.315186700,59.2678,0.227,200,0.006,0.007,0.007,0.009
40,19500,1407542247.760212500,60.7128,0.207,200,0.006,0.007,0.007,0.010
41,20000,1407542249.205894500,62.1585,0.215,200,0.005,0.007,0.007,0.009
42,20500,1407542250.569664700,63.5223,0.206,200,0.005,0.009,0.010,0.012
43,21000,1407542251.925126100,64.8777,0.207,200,0.007,0.008,0.008,0.010
44,21500,1407542253.357868600,66.3105,0.209,200,0.006,0.008,0.009,0.011
45,22000,1407542254.796853200,67.7495,0.209,200,0.005,0.007,0.007,0.010
46,22500,1407542256.415718600,69.3683,0.216,200,0.006,0.007,0.007,0.009
47,23000,1407542257.872728700,70.8253,0.206,200,0.005,0.007,0.007,0.009
48,23500,1407542259.312617600,72.2652,0.214,200,0.006,0.007,0.007,0.009
49,24000,1407542260.773088200,73.7257,0.232,200,0.006,0.008,0.008,0.010
50,24500,1407542262.190343300,75.143,0.220,200,0.005,0.007,0.007,0.010
51,25000,1407542263.690809200,76.6434,0.201,200,0.005,0.007,0.007,0.009
52,25500,1407542265.147042200,78.0997,0.215,200,0.005,0.007,0.007,0.009
53,26000,1407542266.585268400,79.5379,0.221,200,0.005,0.007,0.007,0.009
54,26500,1407542268.024139300,80.9767,0.212,200,0.006,0.008,0.008,0.010
55,27000,1407542269.467271500,82.4199,0.210,200,0.007,0.008,0.008,0.011
56,27500,1407542270.933744400,83.8864,0.199,200,0.006,0.007,0.008,0.010
57,28000,1407542272.276474800,85.2291,0.198,200,0.005,0.007,0.007,0.009
58,28500,1407542273.641530100,86.5941,0.226,200,0.006,0.007,0.008,0.010
59,29000,1407542275.039655400,87.9923,0.219,200,0.005,0.007,0.007,0.008
60,29500,1407542276.522173200,89.4748,0.203,200,0.005,0.007,0.007,0.010
61,30000,1407542277.914339900,90.8669,0.206,200,0.006,0.007,0.007,0.010
62,30500,1407542279.395478800,92.3481,0.195,200,0.006,0.007,0.007,0.009
63,31000,1407542280.898802000,93.8514,0.193,200,0.006,0.008,0.008,0.010
64,31500,1407542282.385533800,95.3381,0.195,200,0.008,0.010,0.010,0.012
65,32000,1407542283.878838600,96.8314,0.217,200,0.007,0.008,0.008,0.011
66,32500,1407542285.276370000,98.229,0.198,200,0.005,0.007,0.007,0.009
67,33000,1407542286.673473800,99.6261,0.210,200,0.005,0.006,0.006,0.008
68,33500,1407542288.172596600,101.125,0.221,200,0.010,0.012,0.012,0.014
69,34000,1407542289.556005100,102.509,0.208,200,0.007,0.008,0.009,0.011
70,34500,1407542290.962469900,103.915,0.204,200,0.005,0.006,0.006,0.008
71,35000,1407542292.318713000,105.271,0.208,200,0.007,0.008,0.008,0.010
72,35500,1407542293.832815400,106.785,0.215,200,0.006,0.008,0.008,0.010
73,36000,1407542295.199150300,108.152,0.230,200,0.005,0.007,0.007,0.009
74,36500,1407542296.591537600,109.544,0.376,200,0.008,0.010,0.010,0.012
75,37000,1407542298.172597000,111.125,0.216,200,0.005,0.007,0.007,0.009
76,37500,1407542299.672613800,112.625,0.209,200,0.006,0.007,0.007,0.009
77,38000,1407542301.158425900,114.111,0.209,200,0.005,0.007,0.007,0.009
78,38500,1407542302.635781200,115.588,0.204,200,0.006,0.007,0.007,0.009
79,39000,1407542304.073476900,117.026,0.233,200,0.007,0.008,0.008,0.010
80,39500,1407542305.545679700,118.498,0.224,200,0.006,0.007,0.008,0.010
81,40000,1407542307.060517600,120.013,0.205,200,0.006,0.007,0.007,0.009
82,40500,1407542308.582993000,121.536,0.205,200,0.005,0.007,0.007,0.009
83,41000,1407542309.955498400,122.908,0.196,200,0.005,0.007,0.007,0.009
84,41500,1407542311.401191600,124.354,0.189,200,0.005,0.007,0.007,0.009
85,42000,1407542312.822830300,125.775,0.200,200,0.006,0.007,0.007,0.009
86,42500,1407542314.263618400,127.216,0.198,200,0.008,0.010,0.010,0.012
87,43000,1407542315.703263900,128.656,0.200,200,0.005,0.007,0.007,0.009
88,43500,1407542317.432977700,130.386,0.208,200,0.007,0.009,0.009,0.012
89,44000,1407542318.873027400,131.826,0.202,200,0.005,0.007,0.007,0.010
90,44500,1407542320.227069100,133.18,0.190,200,0.006,0.007,0.007,0.009
91,45000,1407542321.571212500,134.524,0.215,200,0.005,0.007,0.007,0.009
92,45500,1407542322.917482600,135.87,0.211,200,0.005,0.007,0.007,0.010
93,46000,1407542324.282796200,137.235,0.217,200,0.005,0.006,0.007,0.008
94,46500,1407542325.637398300,138.59,0.225,200,0.006,0.008,0.008,0.010
95,47000,1407542327.029624500,139.982,0.197,200,0.006,0.007,0.007,0.009
96,47500,1407542328.445514000,141.398,0.200,200,0.006,0.007,0.007,0.009
97,48000,1407542329.964909300,142.918,0.209,200,0.006,0.008,0.008,0.010
98,48500,1407542331.351773000,144.304,0.199,200,0.005,0.007,0.007,0.008
99,49000,1407542332.919766200,145.872,0.209,200,0.006,0.007,0.007,0.009
100,49500,1407542334.420925100,147.374,0.225,200,0.005,0.007,0.007,0.009
