KEYS_STRING = &Keys=MG:A4E45BF7AF38387D1418D44F96DF582B
Starting at 19:38:02 - time since epoch start
queryNum,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
1,0,1407613082.951111200,0.264564,1.297,200,0.007,0.009,0.009,1.296
2,0,1407613085.395063500,2.70852,0.108,200,0.005,0.006,0.006,0.108
3,0,1407613086.638614900,3.95207,0.091,200,0.006,0.007,0.007,0.090
4,0,1407613087.864226400,5.17768,0.099,200,0.011,0.012,0.012,0.099
5,0,1407613089.145163600,6.45862,0.099,200,0.005,0.007,0.007,0.099
6,0,1407613090.359247600,7.6727,0.104,200,0.011,0.013,0.013,0.104
7,0,1407613091.608997100,8.92245,0.138,200,0.006,0.015,0.015,0.137
8,0,1407613092.876641400,10.1901,0.097,200,0.006,0.008,0.009,0.097
9,0,1407613094.131119300,11.4446,0.087,200,0.005,0.006,0.006,0.087
10,0,1407613095.704841900,13.0183,0.096,200,0.009,0.011,0.011,0.095
11,0,1407613096.933432300,14.2469,0.105,200,0.005,0.020,0.020,0.105
12,0,1407613098.151762300,15.4652,0.092,200,0.009,0.010,0.010,0.091
13,0,1407613099.378815500,16.6923,0.088,200,0.007,0.010,0.010,0.086
14,0,1407613100.612250800,17.9257,0.095,200,0.005,0.006,0.006,0.094
15,0,1407613101.846876300,19.1603,0.096,200,0.006,0.008,0.008,0.095
16,0,1407613103.059910500,20.3734,0.087,200,0.005,0.006,0.006,0.086
17,0,1407613104.272765900,21.5862,0.086,200,0.011,0.012,0.013,0.085
18,0,1407613105.511667500,22.8251,0.089,200,0.007,0.008,0.008,0.088
19,0,1407613106.740699100,24.0542,0.088,200,0.005,0.006,0.006,0.086
20,0,1407613107.952410200,25.2659,0.088,200,0.005,0.006,0.007,0.087
21,0,1407613109.165838400,26.4793,0.089,200,0.005,0.006,0.006,0.088
22,0,1407613110.384435400,27.6979,0.090,200,0.006,0.008,0.008,0.089
23,0,1407613111.620384900,28.9338,0.174,200,0.011,0.015,0.015,0.173
24,0,1407613112.942615400,30.2561,0.146,200,0.005,0.014,0.014,0.145
25,0,1407613114.208370800,31.5218,0.091,200,0.005,0.007,0.007,0.090
26,0,1407613115.427251700,32.7407,0.089,200,0.006,0.008,0.008,0.088
27,0,1407613116.641713400,33.9552,0.112,200,0.005,0.006,0.006,0.111
28,0,1407613117.876021800,35.1895,0.109,200,0.006,0.007,0.007,0.109
29,0,1407613119.111098200,36.4246,0.102,200,0.005,0.006,0.006,0.101
30,0,1407613120.335824200,37.6493,0.089,200,0.005,0.006,0.006,0.088
31,0,1407613121.550281100,38.8637,0.108,200,0.005,0.006,0.006,0.107
32,0,1407613122.785909800,40.0994,0.118,200,0.005,0.006,0.006,0.117
33,0,1407613124.024626700,41.3381,0.122,200,0.009,0.010,0.010,0.121
34,0,1407613125.278842200,42.5923,0.123,200,0.005,0.006,0.006,0.122
35,0,1407613126.545490600,43.8589,0.113,200,0.005,0.007,0.007,0.112
36,0,1407613127.780648900,45.0941,0.120,200,0.009,0.010,0.010,0.119
37,0,1407613129.002479500,46.3159,0.119,200,0.009,0.011,0.011,0.119
38,0,1407613130.233086300,47.5465,0.117,200,0.005,0.008,0.008,0.117
39,0,1407613131.485751900,48.7992,0.119,200,0.005,0.007,0.007,0.118
40,0,1407613132.724098300,50.0376,0.117,200,0.005,0.007,0.007,0.117
41,0,1407613133.984424600,51.2979,0.116,200,0.005,0.007,0.007,0.116
42,0,1407613135.214774200,52.5282,0.123,200,0.005,0.008,0.008,0.123
43,0,1407613136.454814500,53.7683,0.126,200,0.005,0.006,0.006,0.126
44,0,1407613137.718366800,55.0318,0.114,200,0.005,0.007,0.007,0.114
45,0,1407613138.957317800,56.2708,0.117,200,0.005,0.009,0.009,0.116
46,0,1407613140.210214800,57.5237,0.105,200,0.005,0.006,0.006,0.104
47,0,1407613141.530609500,58.8441,0.136,200,0.005,0.007,0.007,0.136
48,0,1407613142.853080500,60.1665,0.353,200,0.005,0.007,0.007,0.352
49,0,1407613144.363020900,61.6765,0.138,200,0.009,0.012,0.012,0.137
50,0,1407613145.640819600,62.9543,0.168,200,0.011,0.012,0.012,0.167
51,0,1407613146.936241200,64.2497,0.129,200,0.009,0.012,0.012,0.129
52,0,1407613148.198061000,65.5115,0.098,200,0.005,0.006,0.006,0.098
53,0,1407613149.433891000,66.7473,0.128,200,0.005,0.006,0.006,0.128
54,0,1407613150.674968500,67.9884,0.126,200,0.005,0.007,0.007,0.126
55,0,1407613151.935363100,69.2488,0.133,200,0.005,0.012,0.012,0.132
56,0,1407613153.215903300,70.5294,0.126,200,0.009,0.010,0.010,0.124
57,0,1407613154.478680600,71.7921,0.111,200,0.005,0.006,0.006,0.111
58,0,1407613155.719559700,73.033,0.111,200,0.005,0.006,0.006,0.109
59,0,1407613156.979056700,74.2925,0.109,200,0.005,0.006,0.007,0.108
60,0,1407613158.231873600,75.5453,0.102,200,0.005,0.006,0.007,0.101
61,0,1407613159.470975300,76.7844,0.109,200,0.005,0.008,0.008,0.108
62,0,1407613160.711084100,78.0245,0.106,200,0.005,0.006,0.006,0.105
63,0,1407613161.935592200,79.249,0.113,200,0.005,0.006,0.006,0.112
64,0,1407613163.174543700,80.488,0.106,200,0.005,0.006,0.006,0.106
65,0,1407613164.405806000,81.7193,0.110,200,0.005,0.007,0.007,0.110
66,0,1407613165.651737600,82.9652,0.103,200,0.005,0.006,0.006,0.102
67,0,1407613166.893659000,84.2071,0.342,200,0.005,0.007,0.007,0.340
68,0,1407613168.373279400,85.6867,0.105,200,0.005,0.007,0.007,0.104
69,0,1407613169.619749800,86.9332,0.109,200,0.005,0.006,0.006,0.108
70,0,1407613170.869885400,88.1833,0.112,200,0.005,0.007,0.007,0.112
71,0,1407613172.113450500,89.4269,0.103,200,0.006,0.010,0.010,0.103
72,0,1407613173.374690800,90.6881,0.107,200,0.006,0.007,0.007,0.106
73,0,1407613174.621789700,91.9352,0.115,200,0.005,0.007,0.007,0.114
74,0,1407613175.873798100,93.1873,0.129,200,0.009,0.013,0.013,0.128
75,0,1407613177.149685600,94.4631,0.104,200,0.005,0.007,0.007,0.103
76,0,1407613178.390928200,95.7044,0.114,200,0.006,0.008,0.008,0.113
77,0,1407613179.637641000,96.9511,0.098,200,0.005,0.006,0.006,0.097
78,0,1407613180.876900200,98.1904,0.106,200,0.005,0.006,0.006,0.106
79,0,1407613182.126961600,99.4404,0.107,200,0.005,0.007,0.007,0.107
80,0,1407613183.377785800,100.691,0.147,200,0.010,0.012,0.012,0.146
81,0,1407613184.683079000,101.997,0.111,200,0.005,0.006,0.006,0.110
82,0,1407613185.915877800,103.229,0.113,200,0.009,0.010,0.010,0.112
83,0,1407613187.202912100,104.516,0.113,200,0.009,0.011,0.011,0.112
84,0,1407613188.455420400,105.769,0.120,200,0.009,0.010,0.010,0.119
85,0,1407613189.714186700,107.028,0.125,200,0.005,0.008,0.008,0.124
86,0,1407613190.997348700,108.311,0.110,200,0.005,0.006,0.006,0.109
87,0,1407613192.234726700,109.548,0.110,200,0.005,0.006,0.006,0.109
88,0,1407613193.475042700,110.788,0.138,200,0.005,0.007,0.007,0.137
89,0,1407613194.745258400,112.059,0.112,200,0.005,0.006,0.006,0.112
90,0,1407613196.001066300,113.315,0.115,200,0.005,0.007,0.007,0.114
91,0,1407613197.264327500,114.578,0.107,200,0.006,0.012,0.012,0.107
92,0,1407613198.509720700,115.823,0.114,200,0.010,0.012,0.012,0.114
93,0,1407613199.751854400,117.065,0.105,200,0.005,0.006,0.006,0.105
94,0,1407613201.000350600,118.314,0.110,200,0.006,0.007,0.007,0.109
95,0,1407613202.260288600,119.574,0.128,200,0.005,0.006,0.006,0.128
96,0,1407613203.542075900,120.856,0.111,200,0.007,0.009,0.009,0.109
97,0,1407613204.810477800,122.124,0.112,200,0.005,0.006,0.006,0.111
98,0,1407613206.074550700,123.388,0.109,200,0.009,0.010,0.010,0.109
99,0,1407613207.326768800,124.64,0.113,200,0.006,0.007,0.008,0.112
100,0,1407613208.591112300,125.905,0.108,200,0.006,0.007,0.007,0.107
101,0,1407613209.848410400,127.162,0.112,200,0.005,0.006,0.006,0.111
102,0,1407613211.103175500,128.417,0.106,200,0.005,0.006,0.007,0.105
103,0,1407613212.348367500,129.662,0.108,200,0.005,0.006,0.007,0.107
104,0,1407613213.593073800,130.907,0.108,200,0.005,0.006,0.006,0.107
105,0,1407613214.840882400,132.154,0.135,200,0.005,0.013,0.013,0.134
106,0,1407613216.113561800,133.427,0.106,200,0.005,0.006,0.006,0.105
107,0,1407613217.363459500,134.677,0.125,200,0.005,0.006,0.006,0.124
108,0,1407613218.644837500,135.958,0.107,200,0.005,0.008,0.008,0.106
109,0,1407613219.921933600,137.235,0.100,200,0.005,0.006,0.006,0.100
110,0,1407613221.174902900,138.488,0.112,200,0.005,0.006,0.006,0.112
111,0,1407613222.434400300,139.748,0.104,200,0.006,0.010,0.010,0.103
112,0,1407613223.693461400,141.007,0.106,200,0.005,0.006,0.006,0.105
113,0,1407613224.958541500,142.272,0.109,200,0.006,0.007,0.007,0.109
114,0,1407613226.217710800,143.531,0.110,200,0.005,0.007,0.007,0.110
115,0,1407613227.483635800,144.797,0.112,200,0.005,0.007,0.007,0.111
116,0,1407613228.739410900,146.053,0.107,200,0.009,0.011,0.011,0.106
117,0,1407613230.005167400,147.319,0.114,200,0.006,0.008,0.008,0.114
118,0,1407613231.260224800,148.574,0.111,200,0.004,0.006,0.006,0.110
119,0,1407613232.514658300,149.828,0.111,200,0.005,0.007,0.007,0.110
120,0,1407613233.757935400,151.071,0.107,200,0.005,0.006,0.007,0.107
121,0,1407613234.998420300,152.312,0.115,200,0.005,0.007,0.007,0.114
122,0,1407613236.252670000,153.566,0.116,200,0.005,0.013,0.013,0.115
123,0,1407613237.538196100,154.852,0.109,200,0.007,0.008,0.008,0.108
124,0,1407613238.789474200,156.103,0.106,200,0.005,0.007,0.007,0.106
125,0,1407613240.046477400,157.36,0.107,200,0.006,0.007,0.007,0.106
126,0,1407613241.305348700,158.619,0.109,200,0.005,0.008,0.008,0.108
127,0,1407613242.557410000,159.871,0.106,200,0.005,0.006,0.006,0.105
128,0,1407613243.807853900,161.121,0.111,200,0.006,0.007,0.008,0.110
129,0,1407613245.044799500,162.358,0.106,200,0.005,0.006,0.006,0.106
130,0,1407613246.319664800,163.633,0.109,200,0.009,0.010,0.010,0.109
131,0,1407613247.582080000,164.896,0.111,200,0.005,0.007,0.007,0.110
132,0,1407613248.849513000,166.163,0.113,200,0.005,0.006,0.006,0.112
133,0,1407613250.107478800,167.421,0.112,200,0.006,0.007,0.007,0.111
134,0,1407613251.353152800,168.667,0.117,200,0.005,0.007,0.007,0.116
135,0,1407613252.595044300,169.908,0.109,200,0.005,0.006,0.007,0.108
136,0,1407613253.876902100,171.19,0.112,200,0.005,0.006,0.006,0.111
137,0,1407613255.139237400,172.453,0.128,200,0.005,0.006,0.006,0.127
138,0,1407613256.414488900,173.728,0.119,200,0.005,0.010,0.010,0.118
139,0,1407613257.671840500,174.985,0.107,200,0.008,0.010,0.010,0.106
140,0,1407613259.008601500,176.322,0.112,200,0.009,0.011,0.011,0.111
141,0,1407613260.268730000,177.582,0.106,200,0.005,0.006,0.006,0.105
142,0,1407613261.526731000,178.84,0.105,200,0.005,0.006,0.006,0.104
143,0,1407613262.768500400,180.082,0.124,200,0.006,0.007,0.007,0.124
144,0,1407613264.059628400,181.373,0.106,200,0.005,0.010,0.010,0.105
145,0,1407613265.335791300,182.649,0.109,200,0.005,0.007,0.007,0.108
146,0,1407613266.598518300,183.912,0.106,200,0.005,0.006,0.007,0.105
147,0,1407613267.842899800,185.156,0.299,200,0.005,0.007,0.007,0.105
148,0,1407613269.329908900,186.643,0.109,200,0.005,0.006,0.006,0.108
149,0,1407613270.589658300,187.903,0.107,200,0.005,0.007,0.007,0.106
150,0,1407613271.859698800,189.173,0.109,200,0.005,0.006,0.006,0.108
151,0,1407613273.125050000,190.439,0.108,200,0.005,0.007,0.007,0.107
152,0,1407613274.402660500,191.716,0.121,200,0.008,0.012,0.012,0.121
153,0,1407613275.685166400,192.999,0.104,200,0.005,0.006,0.006,0.104
154,0,1407613276.935967400,194.249,0.131,200,0.005,0.007,0.007,0.131
155,0,1407613278.229809100,195.543,0.111,200,0.009,0.010,0.010,0.110
156,0,1407613279.500401600,196.814,0.106,200,0.005,0.007,0.007,0.105
157,0,1407613280.753425000,198.067,0.139,200,0.005,0.007,0.007,0.138
158,0,1407613282.033964500,199.347,0.102,200,0.009,0.010,0.010,0.102
159,0,1407613283.295285800,200.609,0.101,200,0.005,0.006,0.006,0.101
160,0,1407613284.569599100,201.883,0.146,200,0.009,0.010,0.010,0.145
161,0,1407613285.874569600,203.188,0.111,200,0.005,0.008,0.009,0.111
162,0,1407613287.137491500,204.451,0.112,200,0.009,0.011,0.011,0.111
163,0,1407613288.396995400,205.71,0.102,200,0.005,0.006,0.007,0.102
164,0,1407613289.647033200,206.96,0.110,200,0.004,0.008,0.008,0.110
165,0,1407613290.896609300,208.21,0.124,200,0.005,0.006,0.006,0.124
166,0,1407613292.181643000,209.495,0.105,200,0.005,0.006,0.006,0.105
167,252605,1407613293.446832700,210.76,45.754,200,0.005,0.007,0.007,45.754
168,252605,1407613340.364546900,257.678,27.733,200,0.009,0.010,0.010,27.732
169,252605,1407613369.272173400,286.586,27.698,200,0.006,0.008,0.008,27.697
170,252605,1407613398.175304300,315.489,27.243,200,0.006,0.007,0.008,27.243
171,252605,1407613426.648216600,343.962,27.659,200,0.009,0.011,0.011,27.658
172,252605,1407613455.480363800,372.794,28.057,200,0.005,0.006,0.007,27.829
173,507500,1407613484.738618700,402.052,86.570,200,0.005,0.008,0.008,86.569
174,507500,1407613572.530437000,489.844,55.917,200,0.005,0.007,0.007,55.916
175,507500,1407613629.650579200,546.964,55.937,200,0.005,0.007,0.007,55.806
176,763932,1407613686.772246400,604.086,132.878,200,0.010,0.017,0.017,132.877
177,763932,1407613820.863618400,738.177,86.096,200,0.005,0.007,0.007,86.018
178,1021500,1407613908.151798600,825.465,178.002,200,0.006,0.007,0.007,177.873
179,1273000,1407614087.364522100,1004.68,221.031,200,0.005,0.006,0.007,220.984
180,1526230,1407614309.590645100,1226.9,7210.104,000,0.005,0.021,0.021,0.000
181,11428456,1407621521.123414500,8438.44,7210.092,000,0.006,0.011,0.011,0.000
182,19983900,1407628732.945379400,15650.3,7210.105,000,0.005,0.007,0.007,0.000
