Starting at 19:28:21 - time since epoch start 1409945301.690264500
term,numTerms,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
post,10000,0,1409945302.003983200,,2.238,200,0.004,1.023,1.023,2.238
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945304.469289200,2.77902,0.029,200,0.008,0.008,0.008,0.029
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945304.573828100,2.88356,0.011,200,0.004,0.004,0.004,0.010
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945304.649131900,2.95887,0.011,200,0.006,0.006,0.006,0.011
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945304.720414400,3.03015,0.031,200,0.004,0.005,0.005,0.030
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945304.805472600,3.11521,0.013,200,0.008,0.008,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945304.871874200,3.18161,0.009,200,0.004,0.004,0.004,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945304.929206100,3.23894,0.011,200,0.006,0.006,0.006,0.010
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945304.993735600,3.30347,0.008,200,0.004,0.004,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945305.059133600,3.36887,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945305.121854300,3.43159,0.008,200,0.004,0.004,0.004,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945305.181362500,3.4911,0.009,200,0.004,0.004,0.004,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945305.244441800,3.55418,0.016,200,0.008,0.008,0.008,0.016
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945305.311584400,3.62132,0.013,200,0.008,0.009,0.009,0.013
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945305.377711000,3.68745,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945305.434822400,3.74456,0.010,200,0.004,0.005,0.005,0.010
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945305.492902500,3.80264,0.014,200,0.009,0.009,0.009,0.013
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945305.561472100,3.87121,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945305.632696900,3.94243,0.010,200,0.004,0.004,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945305.696382100,4.00612,0.009,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945305.766777100,4.07651,0.014,200,0.008,0.009,0.009,0.013
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945305.834161000,4.1439,0.011,200,0.005,0.006,0.006,0.011
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945305.903510300,4.21325,0.009,200,0.004,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945305.972902100,4.28264,0.011,200,0.007,0.007,0.007,0.011
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945306.043189700,4.35293,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945306.105605800,4.41534,0.012,200,0.008,0.008,0.008,0.012
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945306.170295800,4.48003,0.013,200,0.008,0.008,0.008,0.012
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945306.234948000,4.54468,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945306.292041200,4.60178,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945306.348018700,4.65775,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945306.411392700,4.72113,0.008,200,0.004,0.004,0.004,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945306.476186500,4.78592,0.102,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945306.626619800,4.93636,0.008,200,0.004,0.004,0.004,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945306.682324000,4.99206,0.012,200,0.008,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945306.742081900,5.05182,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945306.798794600,5.10853,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945306.856802200,5.16654,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945306.917068900,5.2268,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945306.983517300,5.29325,0.009,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945307.048587300,5.35832,0.010,200,0.006,0.006,0.006,0.010
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945307.111733700,5.42147,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945307.174169300,5.4839,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945307.232418200,5.54215,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945307.290105000,5.59984,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945307.354560800,5.6643,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945307.414876800,5.72461,0.013,200,0.009,0.009,0.009,0.013
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945307.489393900,5.79913,0.013,200,0.009,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945307.565300200,5.87504,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945307.646888400,5.95662,0.008,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945307.710066800,6.0198,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945307.777673200,6.08741,0.008,200,0.004,0.004,0.004,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945307.845523800,6.15526,0.013,200,0.008,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945307.911363400,6.2211,0.013,200,0.008,0.008,0.008,0.012
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945307.974576000,6.28431,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945308.030971400,6.34071,0.012,200,0.004,0.005,0.005,0.012
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945308.095369600,6.40511,0.008,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945308.161846900,6.47158,0.008,200,0.005,0.005,0.005,0.008
