Starting at 12:22:26 - time since epoch start 1409944946.146895100
term,numTerms,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
post,10000000,0,1409944951.862746100,,1.031,200,0.005,0.005,0.005,1.030
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944953.096008300,6.94911,0.031,200,0.004,0.004,0.004,0.031
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944953.190105300,7.04321,0.013,200,0.008,0.009,0.009,0.013
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944953.252020100,7.10512,0.013,200,0.008,0.008,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944953.310642600,7.16375,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944953.375813300,7.22892,0.008,200,0.004,0.004,0.004,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944953.434719100,7.28782,0.018,200,0.004,0.004,0.005,0.017
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944953.504495600,7.3576,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944953.560707200,7.41381,0.008,200,0.004,0.004,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944953.621220700,7.47433,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944953.681199400,7.5343,0.008,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944953.739850700,7.59296,0.008,200,0.004,0.004,0.004,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944953.803157900,7.65626,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944953.860459300,7.71356,0.009,200,0.004,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944953.926971100,7.78008,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944953.988269200,7.84137,0.009,200,0.004,0.004,0.004,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944954.048090900,7.9012,0.009,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944954.106704200,7.95981,0.012,200,0.008,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944954.170442500,8.02355,0.012,200,0.009,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944954.235223700,8.08833,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944954.291305300,8.14441,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944954.346179000,8.19928,0.008,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944954.400862900,8.25397,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944954.454294200,8.3074,0.008,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944954.508985700,8.36209,0.013,200,0.008,0.008,0.008,0.012
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944954.572963700,8.42607,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944954.631138300,8.48424,0.009,200,0.004,0.004,0.004,0.009
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944954.692306200,8.54541,0.012,200,0.004,0.004,0.004,0.011
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944954.756267900,8.60937,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944954.818300200,8.67141,0.008,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944954.876321100,8.72943,0.008,200,0.004,0.004,0.004,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944954.931422100,8.78453,0.008,200,0.004,0.004,0.004,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944954.997336500,8.85044,0.012,200,0.004,0.004,0.004,0.011
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944955.060861300,8.91397,0.013,200,0.009,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409944955.128097600,8.9812,0.009,200,0.004,0.005,0.005,0.008
