Starting at 12:26:05 - time since epoch start 1409945165.591456000
term,numTerms,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
post,10,0,1409945165.935684200,,2.020,200,0.004,1.028,1.028,2.020
rahjMyUwwKrXnFMQGEe-0,10,1,1409945168.157113300,2.56566,0.031,200,0.005,0.005,0.005,0.031
rahjMyUwwKrXnFMQGEe-0,10,1,1409945168.239555200,2.6481,0.009,200,0.004,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,10,1,1409945168.303103400,2.71165,0.009,200,0.004,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,10,1,1409945168.361546700,2.77009,0.028,200,0.004,0.004,0.004,0.028
rahjMyUwwKrXnFMQGEe-0,10,1,1409945168.440009900,2.84855,0.013,200,0.009,0.009,0.009,0.013
rahjMyUwwKrXnFMQGEe-0,10,1,1409945168.503257600,2.9118,0.009,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,10,1,1409945168.569330600,2.97787,0.009,200,0.004,0.004,0.004,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945168.638917700,3.04746,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945168.699605900,3.10815,0.012,200,0.008,0.008,0.008,0.012
rahjMyUwwKrXnFMQGEe-0,10,1,1409945168.761780100,3.17032,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945168.826285300,3.23483,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945168.889408100,3.29795,0.009,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,10,1,1409945168.953090000,3.36163,0.010,200,0.004,0.005,0.005,0.010
rahjMyUwwKrXnFMQGEe-0,10,1,1409945169.017409600,3.42595,0.012,200,0.008,0.008,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,10,1,1409945169.085238000,3.49378,0.009,200,0.004,0.004,0.004,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945169.148203600,3.55675,0.012,200,0.004,0.005,0.005,0.012
rahjMyUwwKrXnFMQGEe-0,10,1,1409945169.209392800,3.61794,0.008,200,0.004,0.004,0.004,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945169.267206600,3.67575,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945169.324134100,3.73268,0.008,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945169.378939700,3.78748,0.008,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945169.437567400,3.84611,0.012,200,0.008,0.008,0.008,0.011
rahjMyUwwKrXnFMQGEe-0,10,1,1409945169.498068400,3.90661,0.008,200,0.004,0.004,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945169.564360600,3.9729,0.011,200,0.004,0.004,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945169.630150600,4.03869,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945169.686528400,4.09507,0.009,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,10,1,1409945169.749798900,4.15834,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945169.810889000,4.21943,0.012,200,0.008,0.008,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,10,1,1409945169.877911800,4.28646,0.012,200,0.008,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,10,1,1409945169.939420700,4.34796,0.008,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10,1,1409945169.995411200,4.40396,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945170.057109600,4.46565,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945170.117162400,4.52571,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945170.182018800,4.59056,0.008,200,0.004,0.004,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10,1,1409945170.242249000,4.65079,0.012,200,0.004,0.005,0.005,0.012
rahjMyUwwKrXnFMQGEe-0,10,1,1409945170.303218300,4.71176,0.008,200,0.004,0.005,0.005,0.008
