Starting at 19:29:58 - time since epoch start 1409945398.211223400
term,numTerms,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
post,10000,0,1409945398.525373000,,1.627,200,0.005,1.034,1.034,1.627
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945400.347298400,2.13608,0.024,200,0.005,0.005,0.005,0.024
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945400.432105500,2.22088,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945400.500847500,2.28962,0.010,200,0.006,0.006,0.006,0.009
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945400.575190000,2.36397,0.011,200,0.005,0.006,0.006,0.010
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945400.663812200,2.45259,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945400.750933700,2.53971,0.019,200,0.014,0.014,0.014,0.019
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945400.842310700,2.63109,0.011,200,0.006,0.006,0.006,0.009
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945400.917008500,2.70579,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945400.991455900,2.78023,0.009,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945401.078834400,2.86761,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945401.148199300,2.93698,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945401.217463200,3.00624,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945401.292210900,3.08099,0.010,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945401.373343500,3.16212,0.009,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945401.456461500,3.24524,0.013,200,0.008,0.008,0.009,0.013
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945401.540759500,3.32954,0.012,200,0.005,0.005,0.005,0.011
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945401.626594800,3.41537,0.012,200,0.008,0.008,0.008,0.011
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945401.702477900,3.49125,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945401.771056500,3.55983,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945401.839500400,3.62828,0.018,200,0.005,0.015,0.015,0.017
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945401.917143500,3.70592,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945401.986527400,3.7753,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945402.054988100,3.84376,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945402.122822400,3.9116,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945402.190542000,3.97932,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945402.258614700,4.04739,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945402.326453900,4.11523,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945402.393792200,4.18257,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945402.465508400,4.25429,0.009,200,0.005,0.006,0.006,0.009
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945402.538841400,4.32762,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945402.607339700,4.39612,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945402.682537800,4.47131,0.009,200,0.005,0.006,0.006,0.009
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945402.755443700,4.54422,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945402.826172600,4.61495,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945402.895953700,4.68473,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945402.966320000,4.7551,0.015,200,0.011,0.011,0.011,0.014
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945403.053803000,4.84258,0.014,200,0.008,0.009,0.009,0.013
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945403.146100600,4.93488,0.008,200,0.005,0.005,0.006,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945403.225480800,5.01426,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945403.318477400,5.10725,0.017,200,0.012,0.012,0.012,0.015
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945403.414431200,5.20321,0.010,200,0.006,0.007,0.007,0.010
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945403.497291600,5.28607,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945403.565135900,5.35391,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945403.632164300,5.42094,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945403.705817500,5.49459,0.009,200,0.005,0.006,0.006,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945403.778806100,5.56758,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945403.850487500,5.63926,0.009,200,0.005,0.006,0.006,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945403.920150400,5.70893,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945403.987908500,5.77669,0.033,200,0.005,0.005,0.005,0.010
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945404.093481700,5.88226,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945404.162019000,5.9508,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945404.229136100,6.01791,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945404.296394000,6.08517,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945404.363913700,6.15269,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945404.433551300,6.22233,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945404.503891800,6.29267,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945404.571161600,6.35994,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945404.637981500,6.42676,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945404.705390000,6.49417,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945404.772488700,6.56127,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945404.840481200,6.62926,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945404.907645500,6.69642,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945404.977283500,6.76606,0.012,200,0.006,0.007,0.007,0.010
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945405.064687400,6.85346,0.012,200,0.008,0.008,0.008,0.011
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945405.163303600,6.95208,0.009,200,0.005,0.006,0.006,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945405.240928400,7.02971,0.010,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945405.317360600,7.10614,0.010,200,0.005,0.005,0.005,0.010
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945405.394103500,7.18288,0.208,200,0.006,0.006,0.006,0.009
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945405.672903300,7.46168,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945405.744741600,7.53352,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945405.814087500,7.60286,0.009,200,0.005,0.006,0.006,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945405.887554500,7.67633,0.009,200,0.005,0.006,0.006,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945405.962290300,7.75107,0.010,200,0.007,0.007,0.007,0.009
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945406.049733900,7.83851,0.011,200,0.006,0.006,0.006,0.010
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945406.135419300,7.9242,0.015,200,0.008,0.008,0.008,0.014
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945406.228735900,8.01751,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945406.315526300,8.1043,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945406.386347200,8.17512,0.012,200,0.008,0.009,0.009,0.011
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945406.468768100,8.25754,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945406.545529300,8.33431,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945406.614234100,8.40301,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945406.681179500,8.46996,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945406.749220000,8.538,0.018,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945406.845258200,8.63403,0.009,200,0.006,0.006,0.006,0.009
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945406.921167900,8.70994,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945406.989107500,8.77788,0.008,200,0.005,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945407.055908100,8.84468,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945407.122918200,8.91169,0.008,200,0.005,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945407.189907600,8.97868,0.008,200,0.005,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945407.257172100,9.04595,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945407.330560300,9.11934,0.009,200,0.005,0.006,0.006,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945407.403316300,9.19209,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945407.471963100,9.26074,0.008,200,0.005,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945407.539166200,9.32794,0.008,200,0.005,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945407.605835000,9.39461,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945407.674206200,9.46298,0.008,200,0.005,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945407.741144500,9.52992,0.008,200,0.005,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945407.808568500,9.59735,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945407.878731800,9.66751,0.008,200,0.005,0.005,0.006,0.008
rahjMyUwwKrXnFMQGEe-0,10000,1,1409945407.949729500,9.73851,0.008,200,0.005,0.005,0.005,0.007
post,10000,1,1409945408.315820000,9.73851,0.612,200,0.005,0.005,0.005,0.007
fYfXJLrwKutXwiXkikS-7,10000,10,1409945409.131577800,10.9204,0.013,200,0.007,0.007,0.007,0.012
XXZEHJJzbOToLEqsHUL-9,10000,10,1409945409.209269500,10.998,0.214,200,0.005,0.005,0.005,0.009
kZbQKxLzNdoMdaeYfQX-2,10000,10,1409945409.490893700,11.2797,0.009,200,0.005,0.005,0.005,0.008
XXZEHJJzbOToLEqsHUL-9,10000,10,1409945409.560335500,11.3491,0.008,200,0.005,0.005,0.005,0.008
XXZEHJJzbOToLEqsHUL-9,10000,10,1409945409.627234300,11.416,0.008,200,0.005,0.005,0.005,0.008
DAkSPlyxLZNvFbAvezS-5,10000,10,1409945409.694379300,11.4832,0.009,200,0.005,0.005,0.005,0.009
kZbQKxLzNdoMdaeYfQX-2,10000,10,1409945409.763442000,11.5522,0.008,200,0.005,0.005,0.005,0.008
AAtxAWtLtvlQbmKnRRp-4,10000,10,1409945409.831266000,11.62,0.010,200,0.006,0.006,0.006,0.009
ExpBCxVBdSWFHfrUgNQ-6,10000,10,1409945409.907620600,11.6964,0.010,200,0.005,0.006,0.006,0.009
UXiisXEMJMrJErXISOi-8,10000,10,1409945409.979136500,11.7679,0.010,200,0.005,0.005,0.005,0.009
fYfXJLrwKutXwiXkikS-7,10000,10,1409945410.049475600,11.8383,0.008,200,0.005,0.005,0.005,0.008
ExpBCxVBdSWFHfrUgNQ-6,10000,10,1409945410.116816100,11.9056,0.008,200,0.005,0.005,0.005,0.008
UXiisXEMJMrJErXISOi-8,10000,10,1409945410.183540700,11.9723,0.008,200,0.005,0.005,0.005,0.008
XXZEHJJzbOToLEqsHUL-9,10000,10,1409945410.251535400,12.0403,0.008,200,0.005,0.005,0.005,0.007
vyZEzkZjqoqatSfYwlI-1,10000,10,1409945410.318201000,12.107,0.009,200,0.005,0.005,0.005,0.008
XXZEHJJzbOToLEqsHUL-9,10000,10,1409945410.387618100,12.1764,0.008,200,0.005,0.005,0.005,0.008
