Starting at 19:28:30 - time since epoch start 1409945310.353162800
term,numTerms,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
post,10000000,0,1409945316.122336600,,0.714,200,0.009,0.009,0.010,0.713
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945317.050702100,6.69754,0.024,200,0.004,0.004,0.004,0.024
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945317.132316000,6.77915,0.011,200,0.007,0.008,0.008,0.011
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945317.199850900,6.84669,0.008,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945317.264521600,6.91136,0.012,200,0.008,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945317.327602800,6.97444,0.009,200,0.005,0.005,0.006,0.009
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945317.385241200,7.03208,0.008,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945317.440789100,7.08763,0.011,200,0.006,0.006,0.006,0.011
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945317.504725500,7.15156,0.023,200,0.011,0.019,0.020,0.023
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945317.580575900,7.22741,0.009,200,0.005,0.006,0.006,0.009
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945317.640957400,7.28779,0.008,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945317.706236100,7.35307,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945317.772295200,7.41913,0.008,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945317.828899600,7.47574,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945317.884879300,7.53172,0.008,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945317.942077600,7.58891,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945317.998984200,7.64582,0.008,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945318.061971600,7.70881,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945318.122863100,7.7697,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945318.178401100,7.82524,0.008,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945318.239518500,7.88636,0.007,200,0.004,0.004,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945318.300258600,7.9471,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945318.360401900,8.00724,0.008,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945318.422492300,8.06933,0.008,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945318.488158700,8.135,0.010,200,0.004,0.005,0.005,0.010
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945318.548043100,8.19488,0.007,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945318.605357100,8.25219,0.012,200,0.004,0.005,0.005,0.011
rahjMyUwwKrXnFMQGEe-0,10000000,1,1409945318.665751800,8.31259,0.008,200,0.005,0.005,0.005,0.007
