Running post_and_query.sh with numTerms = 1000
Starting at 01:50:15 - time since epoch start 1410079815.306276400
term,numTerms,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
post,1000,0,1410079815.563826700,,0.899,200,0.004,0.004,0.004,0.899
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079816.594743300,1.28847,0.035,200,0.008,0.009,0.009,0.034
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079816.678023300,1.37175,0.013,200,0.004,0.005,0.005,0.013
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079816.746115000,1.43984,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079816.805258200,1.49898,0.023,200,0.004,0.004,0.004,0.022
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079816.874910600,1.56863,0.008,200,0.004,0.004,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079816.933607400,1.62733,0.008,200,0.004,0.004,0.004,0.008
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079816.992744300,1.68647,0.013,200,0.004,0.004,0.004,0.012
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079817.052918200,1.74664,0.009,200,0.004,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079817.122268700,1.81599,0.009,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079817.184344900,1.87807,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079817.243758800,1.93748,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079817.303886600,1.99761,0.013,200,0.008,0.009,0.009,0.013
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079817.371336500,2.06506,0.012,200,0.005,0.006,0.006,0.010
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079817.436767500,2.13049,0.010,200,0.006,0.006,0.006,0.009
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079817.512290900,2.20601,0.010,200,0.005,0.005,0.005,0.010
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079817.575720800,2.26944,0.011,200,0.004,0.008,0.008,0.011
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079817.634297500,2.32802,0.011,200,0.004,0.004,0.004,0.011
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079817.697064700,2.39079,0.011,200,0.004,0.008,0.008,0.011
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079817.754916800,2.44864,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079817.808391400,2.50212,0.008,200,0.004,0.004,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079817.867106800,2.56083,0.012,200,0.004,0.004,0.004,0.011
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079817.925990900,2.61971,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079817.979637000,2.67336,0.008,200,0.004,0.004,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079818.037176800,2.7309,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079818.096530200,2.79025,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079818.154307700,2.84803,0.008,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079818.208470900,2.90219,0.008,200,0.004,0.004,0.008,0.008
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079818.263400700,2.95712,0.008,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079818.319999500,3.01372,0.009,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079818.383630600,3.07735,0.013,200,0.008,0.008,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079818.449666500,3.14339,0.010,200,0.005,0.005,0.005,0.010
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079818.509412800,3.20314,0.017,200,0.009,0.009,0.009,0.016
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079818.591330400,3.28505,0.012,200,0.008,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,1000,1,1410079818.669391400,3.36312,0.012,200,0.005,0.005,0.005,0.011
