Running post_and_query.sh with numTerms = 1000000
Starting at 08:56:41 - time since epoch start 1410080201.783256100
term,numTerms,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
post,1000000,0,1410080202.330095500,,1.062,200,0.005,0.005,0.005,1.061
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080203.554700100,1.77144,0.033,200,0.008,0.009,0.009,0.032
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080203.641470400,1.85821,0.009,200,0.004,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080203.708960000,1.9257,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080203.771595100,1.98834,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080203.830143600,2.04689,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080203.887813500,2.10456,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080203.948869000,2.16561,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080204.010657700,2.2274,0.010,200,0.004,0.004,0.004,0.009
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080204.076992400,2.29374,0.009,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080204.138220000,2.35496,0.010,200,0.006,0.006,0.006,0.010
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080204.207726700,2.42447,0.008,200,0.004,0.004,0.004,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080204.269286700,2.48603,0.009,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080204.356981300,2.57373,0.016,200,0.007,0.008,0.008,0.016
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080204.447779800,2.66452,0.012,200,0.004,0.005,0.005,0.012
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080204.531932100,2.74868,0.009,200,0.004,0.004,0.004,0.009
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080204.593260900,2.81,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080204.663268000,2.88001,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080204.719711200,2.93646,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080204.778998900,2.99574,0.008,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080204.836311800,3.05306,0.012,200,0.004,0.008,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080204.901687200,3.11843,0.012,200,0.008,0.008,0.008,0.012
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080204.965848100,3.18259,0.009,200,0.004,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080205.025790800,3.24253,0.012,200,0.008,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080205.089218300,3.30596,0.012,200,0.004,0.005,0.005,0.012
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410080205.157095000,3.37384,0.009,200,0.005,0.005,0.005,0.008
