Running post_and_query.sh with numTerms = 1000
Starting at 09:10:58 - time since epoch start 1410081058.184969200
term,numTerms,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
post,1000,0,1410081058.474062400,,1.592,200,0.005,0.005,0.005,1.592
rahjMyUwwKrXnFMQGEe-0,1000,1,1410081060.208850000,2.02388,0.027,200,0.004,0.005,0.005,0.026
rahjMyUwwKrXnFMQGEe-0,1000,1,1410081060.292398900,2.10743,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000,1,1410081060.363028800,2.17806,0.012,200,0.008,0.008,0.008,0.012
rahjMyUwwKrXnFMQGEe-0,1000,1,1410081060.427100500,2.24213,0.007,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,1000,1,1410081060.483039100,2.29807,0.012,200,0.009,0.009,0.009,0.012
rahjMyUwwKrXnFMQGEe-0,1000,1,1410081060.547532800,2.36256,0.008,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,1000,1,1410081060.610377400,2.42541,0.007,200,0.004,0.004,0.004,0.006
rahjMyUwwKrXnFMQGEe-0,1000,1,1410081060.667754800,2.48279,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,1000,1,1410081060.728830500,2.54386,0.008,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,1000,1,1410081060.784925200,2.59996,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,1000,1,1410081060.839772700,2.6548,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000,1,1410081060.902948100,2.71798,0.011,200,0.004,0.008,0.008,0.010
rahjMyUwwKrXnFMQGEe-0,1000,1,1410081060.962764200,2.7778,0.009,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,1000,1,1410081061.025583500,2.84061,0.007,200,0.004,0.005,0.005,0.007
rahjMyUwwKrXnFMQGEe-0,1000,1,1410081061.085698900,2.90073,0.011,200,0.004,0.004,0.004,0.011
rahjMyUwwKrXnFMQGEe-0,1000,1,1410081061.148848900,2.96388,0.007,200,0.004,0.004,0.004,0.007
rahjMyUwwKrXnFMQGEe-0,1000,1,1410081061.204087100,3.01912,0.007,200,0.004,0.004,0.005,0.007
