Running post_and_query.sh with numTerms = 1000000
Starting at 09:13:12 - time since epoch start 1410081192.216243000
term,numTerms,numDocs,timeEpoch,timeStart,totalTime,curlStatus,lookupTime,connectTime,pretransfterTime,starttransferTime
post,1000000,0,1410081192.561327400,,0.489,200,0.005,0.005,0.005,0.489
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081193.250298800,1.03406,0.024,200,0.005,0.005,0.005,0.024
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081193.336344100,1.1201,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081193.405830500,1.18959,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081193.473637000,1.25739,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081193.542196300,1.32595,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081193.609844900,1.3936,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081193.678783800,1.46254,0.009,200,0.006,0.006,0.006,0.009
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081193.748305500,1.53206,0.009,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081193.817351100,1.60111,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081193.886462800,1.67022,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081193.955283600,1.73904,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081194.023106200,1.80686,0.009,200,0.005,0.006,0.006,0.009
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081194.092708500,1.87647,0.009,200,0.005,0.005,0.005,0.009
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081194.161823100,1.94558,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081194.231520000,2.01528,0.010,200,0.005,0.006,0.006,0.010
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081194.305172200,2.08893,0.010,200,0.005,0.006,0.006,0.009
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081194.377092500,2.16085,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081194.445692800,2.22945,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081194.514927000,2.29868,0.023,200,0.005,0.005,0.006,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081194.598155700,2.38191,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081194.665564800,2.44932,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081194.735185500,2.51894,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081194.804024300,2.58778,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081194.883536700,2.66729,0.012,200,0.008,0.008,0.008,0.011
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081194.960148900,2.74391,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081195.036316700,2.82007,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081195.108113800,2.89187,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081195.186078200,2.96984,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081195.260364100,3.04412,0.009,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081195.329553900,3.11331,0.011,200,0.007,0.007,0.007,0.010
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081195.402708700,3.18647,0.009,200,0.005,0.006,0.006,0.009
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081195.479902000,3.26366,0.009,200,0.005,0.006,0.006,0.009
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081195.558349500,3.34211,0.012,200,0.007,0.008,0.008,0.011
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081195.640170900,3.42393,0.011,200,0.007,0.007,0.007,0.010
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081195.722017800,3.50577,0.009,200,0.005,0.005,0.006,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081195.804375000,3.58813,0.009,200,0.005,0.005,0.006,0.009
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081195.886709700,3.67047,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081195.955460100,3.73922,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081196.027010300,3.81077,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081196.095280300,3.87904,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081196.162301000,3.94606,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081196.229997500,4.01375,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081196.297759100,4.08152,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081196.365111600,4.14887,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081196.441084400,4.22484,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081196.513624500,4.29738,0.009,200,0.006,0.006,0.006,0.009
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081196.587057200,4.37081,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081196.655358700,4.43912,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081196.722980300,4.50674,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081196.793320100,4.57708,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081196.862469700,4.64623,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081196.930194000,4.71395,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081196.998049700,4.78181,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081197.067486600,4.85124,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081197.135090300,4.91885,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081197.202713700,4.98647,0.008,200,0.005,0.005,0.005,0.008
rahjMyUwwKrXnFMQGEe-0,1000000,1,1410081197.277231900,5.06099,0.010,200,0.006,0.006,0.007,0.010
