INFO  - 2014-04-29 12:38:49.986; org.eclipse.jetty.server.Server; jetty-8.1.10.v20130312
INFO  - 2014-04-29 12:38:50.005; org.eclipse.jetty.deploy.providers.ScanningAppProvider; Deployment monitor C:\Users\rama\Documents\TNO\solr-4.6.1\solr\example\contexts at interval 0
INFO  - 2014-04-29 12:38:50.012; org.eclipse.jetty.deploy.DeploymentManager; Deployable added: C:\Users\rama\Documents\TNO\solr-4.6.1\solr\example\contexts\solr-jetty-context.xml
INFO  - 2014-04-29 12:38:50.061; org.eclipse.jetty.webapp.WebInfConfiguration; Extract jar:file:/C:/Users/rama/Documents/TNO/solr-4.6.1/solr/example/webapps/solr.war!/ to C:\Users\rama\Documents\TNO\solr-4.6.1\solr\example\solr-webapp\webapp
INFO  - 2014-04-29 12:38:53.313; org.eclipse.jetty.webapp.StandardDescriptorProcessor; NO JSP Support for /solr, did not find org.apache.jasper.servlet.JspServlet
INFO  - 2014-04-29 12:38:53.345; org.apache.solr.servlet.SolrDispatchFilter; SolrDispatchFilter.init()
INFO  - 2014-04-29 12:38:53.359; org.apache.solr.core.SolrResourceLoader; JNDI not configured for solr (NoInitialContextEx)
INFO  - 2014-04-29 12:38:53.359; org.apache.solr.core.SolrResourceLoader; solr home defaulted to 'solr/' (could not find system property or JNDI)
INFO  - 2014-04-29 12:38:53.360; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'solr/'
INFO  - 2014-04-29 12:38:53.466; org.apache.solr.core.ConfigSolr; Loading container configuration from C:\Users\rama\Documents\TNO\solr-4.6.1\solr\example\solr\solr.xml
INFO  - 2014-04-29 12:38:53.561; org.apache.solr.core.ConfigSolrXml; Config-defined core root directory: 
INFO  - 2014-04-29 12:38:53.571; org.apache.solr.core.CoreContainer; New CoreContainer 1989766346
INFO  - 2014-04-29 12:38:53.571; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=solr/]
INFO  - 2014-04-29 12:38:53.585; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2014-04-29 12:38:53.585; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: http://
INFO  - 2014-04-29 12:38:53.585; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2014-04-29 12:38:53.587; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2014-04-29 12:38:53.587; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2014-04-29 12:38:53.587; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2014-04-29 12:38:53.588; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2014-04-29 12:38:53.588; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2014-04-29 12:38:53.588; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2014-04-29 12:38:53.698; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2014-04-29 12:38:53.699; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2014-04-29 12:38:53.765; org.apache.solr.core.CorePropertiesLocator; Looking for core definitions underneath C:\Users\rama\Documents\TNO\solr-4.6.1\solr\example\solr
INFO  - 2014-04-29 12:38:53.781; org.apache.solr.core.CorePropertiesLocator; Found core collection1 in C:\Users\rama\Documents\TNO\solr-4.6.1\solr\example\solr\collection1\
INFO  - 2014-04-29 12:38:53.781; org.apache.solr.core.CorePropertiesLocator; Found 1 core definitions
INFO  - 2014-04-29 12:38:53.783; org.apache.solr.core.CoreContainer; Creating SolrCore 'collection1' using instanceDir: C:\Users\rama\Documents\TNO\solr-4.6.1\solr\example\solr\collection1
INFO  - 2014-04-29 12:38:53.783; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: 'C:\Users\rama\Documents\TNO\solr-4.6.1\solr\example\solr\collection1\'
INFO  - 2014-04-29 12:38:53.849; org.apache.solr.core.SolrConfig; Adding specified lib dirs to ClassLoader
INFO  - 2014-04-29 12:38:53.851; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/rama/Documents/TNO/solr-4.6.1/solr/contrib/extraction/lib/apache-mime4j-core-0.7.2.jar' to classloader
INFO  - 2014-04-29 12:38:53.851; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/rama/Documents/TNO/solr-4.6.1/solr/contrib/extraction/lib/apache-mime4j-dom-0.7.2.jar' to classloader
INFO  - 2014-04-29 12:38:53.851; org.apache.solr.core.SolrResourceLoader; Adding 'file:/C:/Users/rama/Documents/TNO/solr-4.6.1/solr/contrib/extraction/lib/bcmail-jdk15-1.45.jar' to classloader
